func,budget,contrast,ref,eps,cycle,n_seeds,pr_ref,pr_arm,pr_d,pr_wtl,pr_p,pr_a12,cov_ref,cov_arm,cov_d,cov_wtl,cov_p,cov_a12,loss_ref,loss_arm,loss_d,loss_wtl,loss_p,loss_a12,cov_holm,loss_holm,silent,silent_holm,cancelling,movers,channel
N09-Vincent3D,400k,ct_soltrim / cp_soltrim,cp_soltrim,0.1,core,15,0.3849,0.8917,0.5068,15/0/0,0.0006,1.0,1.0,1.0,0.0,0/15/0,1.0,0.5,0.6151,0.1083,-0.5068,0/0/15,0.0007,0.0,False,True,False,False,False,loss,report
N09-Vincent3D,400k,ct_soltrim / cp_soltrim,cp_soltrim,0.001,core,15,0.3679,0.4056,0.0377,11/0/4,0.0246,0.73,0.3821,0.4062,0.0241,10/1/4,0.1472,0.7,0.0142,0.0006,-0.0136,0/0/15,0.0006,0.0,False,True,False,False,False,-,sub-threshold
N09-Vincent3D,400k,ct_soltrim / cp_soltrim,cp_soltrim,1e-05,core,15,0.3549,0.342,-0.013,4/1/10,0.268,0.3,0.3549,0.342,-0.013,4/1/10,0.268,0.3,0.0,0.0,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N09-Vincent3D,400k,ct_sol_rel / ct_soltrim,ct_soltrim,0.1,core,15,0.8917,0.9025,0.0108,10/1/4,0.11,0.7,1.0,1.0,0.0,0/15/0,1.0,0.5,0.1083,0.0975,-0.0108,4/1/10,0.0989,0.3,False,False,False,False,False,-,-
N09-Vincent3D,400k,ct_sol_rel / ct_soltrim,ct_soltrim,0.001,core,15,0.4056,0.4034,-0.0022,6/0/9,0.6492,0.4,0.4062,0.4043,-0.0019,6/0/9,0.6905,0.4,0.0006,0.0009,0.0003,3/10/2,0.7012,0.53,False,False,False,False,False,-,-
N09-Vincent3D,400k,ct_sol_rel / ct_soltrim,ct_soltrim,1e-05,core,15,0.342,0.3352,-0.0068,4/2/9,0.2112,0.33,0.342,0.3352,-0.0068,4/2/9,0.2112,0.33,0.0,0.0,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N09-Vincent3D,400k,ct_sol_rel_fl08 / ct_sol_rel,ct_sol_rel,0.1,core,15,0.9025,0.8929,-0.0096,5/1/9,0.1621,0.37,1.0,1.0,0.0,0/15/0,1.0,0.5,0.0975,0.1071,0.0096,9/1/5,0.1389,0.63,False,False,False,False,False,-,-
N09-Vincent3D,400k,ct_sol_rel_fl08 / ct_sol_rel,ct_sol_rel,0.001,core,15,0.4034,0.3923,-0.0111,4/0/11,0.2112,0.27,0.4043,0.3941,-0.0102,4/1/10,0.2549,0.3,0.0009,0.0019,0.0009,4/9/2,0.4299,0.57,False,False,False,False,False,-,-
N09-Vincent3D,400k,ct_sol_rel_fl08 / ct_sol_rel,ct_sol_rel,1e-05,core,15,0.3352,0.3256,-0.0096,4/2/9,0.2327,0.33,0.3352,0.3256,-0.0096,4/2/9,0.2327,0.33,0.0,0.0,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
N09-Vincent3D,400k,basin_reset / base,base,0.1,e80,15,0.1849,0.1846,-0.0003,7/0/8,0.932,0.47,1.0,1.0,0.0,0/15/0,1.0,0.5,0.8151,0.8154,0.0003,8/0/7,0.9095,0.53,False,False,False,False,False,-,-
N09-Vincent3D,400k,basin_reset / base,base,0.001,e80,15,0.1735,0.1818,0.0083,9/0/6,0.2206,0.6,0.3056,0.2096,-0.096,0/0/15,0.0007,0.0,0.1321,0.0278,-0.1043,0/0/15,0.0006,0.0,True,True,True,True,True,cov+loss,-
N09-Vincent3D,400k,basin_reset / base,base,1e-05,e80,15,0.1731,0.1818,0.0086,9/0/6,0.2206,0.6,0.2747,0.1917,-0.083,0/0/15,0.0007,0.0,0.1015,0.0099,-0.0917,0/0/15,0.0006,0.0,True,True,True,True,True,cov+loss,-
N07-Vincent2D,200k,soltrim_rho / base,base,0.1,e60,15,0.3019,0.3019,0.0,0/15/0,1.0,0.5,1.0,1.0,0.0,0/15/0,1.0,0.5,0.6981,0.6981,0.0,0/15/0,1.0,0.5,False,False,False,False,False,-,-
