descent,evals,best_f,land_opt,dist,stop,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,,0,0,2.93521e-08,taboo,2.08344333164,0.501649957442,-1.76955983315,1.33336192492,-1.45235163893,-0.292048978305,-0.427999601128,-2.41296597625,3.33210830364,2.74109740269
1,,5.68434188608e-14,0,5.43304e-08,taboo,2.08344333915,0.501649980611,-1.76955981097,1.33336189911,-1.45235164912,-0.29204897082,-0.427999634703,-2.41296596397,3.33210832599,2.74109739671
2,,5.68434188608e-14,0,3.43287e-08,taboo,2.08344330215,0.501649974206,-1.76955983179,1.33336192128,-1.45235162522,-0.29204897853,-0.427999622993,-2.41296595843,3.33210829347,2.74109739672
3,,0,0,2.93521e-08,taboo,2.08344333164,0.501649957442,-1.76955983315,1.33336192492,-1.45235163893,-0.292048978305,-0.427999601128,-2.41296597625,3.33210830364,2.74109740269
4,,1.70530256582e-13,15,8.92228e-08,taboo,3.82859917675,2.10859856334,2.53387611403,-1.57167916269,-1.97925002767,-2.8858977474,0.920300796824,0.373246404594,2.18157018024,0.500550014794
5,,4.54747350886e-13,19,1.75316e-07,taboo,2.89869495021,-2.49742932278,0.0522007532979,1.57807359453,-2.92573913588,-0.127512139003,-2.49688495693,0.0211760540852,1.18077749117,-2.85908731697
6,,5.68434188608e-14,8,3.97761e-08,taboo,-4.30263159216,-2.02437219843,-2.92828755068,-0.316440537414,-0.886442153876,4.18093102177,-2.64574928527,3.95346369518,0.966102066223,-4.42986379825
7,,5.68434188608e-14,8,3.97679e-08,taboo,-4.30263160346,-2.02437218043,-2.92828757748,-0.316440521852,-0.886442151966,4.18093103336,-2.64574926534,3.95346366396,0.966102099326,-4.42986381858
8,,5.68434188608e-14,8,3.21558e-08,taboo,-4.30263159394,-2.02437219822,-2.92828757328,-0.316440545038,-0.886442137438,4.18093100532,-2.64574925783,3.953463673,0.966102089307,-4.42986381566
9,,1.13686837722e-13,4,6.49042e-08,taboo,-0.889311365382,4.10421085419,1.50372973416,2.98549959505,-2.88959773608,0.599106265682,-4.26611106903,3.06960426965,-3.51844958283,-3.02396164118
10,,0,7,1.63753e-08,taboo,-0.730372635152,-4.15835096231,2.27265560229,-3.64823207803,-3.04015783334,1.44044138916,-3.95124186566,-3.69173071257,0.996407705092,2.3066624912
11,,1.70530256582e-13,2,1.19695e-07,taboo,-1.32614740063,1.18511776304,3.47038363173,-1.31068269353,1.39159000481,-3.51864707632,2.67694369806,-1.5909185406,-2.28840793743,-0.55759503521
12,,1.13686837722e-13,2,7.50675e-08,taboo,-1.32614738387,1.18511774308,3.47038361998,-1.31068268062,1.39158997807,-3.51864701916,2.67694367904,-1.59091851756,-2.28840791443,-0.557595059013
13,,0,16,8.65139e-09,taboo,-1.20753386666,-3.74303798333,-1.69229109407,1.978216568,1.24053227759,1.55971138164,-1.98816631975,1.35960391864,0.0770519569383,3.75440022674
14,,5.68434188608e-14,11,2.95968e-08,taboo,2.49781772439,-1.22980088995,0.650652999077,2.43636387342,0.183065444618,-3.33468336597,-0.20807895311,1.53561851298,-2.163314248,3.68344940714
15,,5.68434188608e-14,15,4.04676e-08,taboo,3.82859915604,2.10859863535,2.53387607745,-1.57167916367,-1.97924998588,-2.88589775979,0.920300787951,0.373246396626,2.18157015828,0.500550015542
16,,5.68434188608e-14,4,4.26602e-08,taboo,-0.889311381733,4.10421086887,1.50372969636,2.98549965854,-2.8895977501,0.599106272944,-4.26611106922,3.06960425982,-3.51844954498,-3.02396164513
17,,1.13686837722e-13,14,8.71234e-08,taboo,4.22233594888,-1.43322356289,-3.07589842629,-3.99518609577,-0.595711169777,1.68480643769,1.93784667994,0.329982110847,1.55267302134,-1.36388353395
18,,1.13686837722e-13,13,7.47502e-08,taboo,0.26671339728,-2.43174971809,2.77960378702,1.4463855375,-0.627482283418,0.399763940123,2.79850163172,-1.24272180204,-1.81507905487,2.10969338814
19,,5.68434188608e-14,0,5.26663e-08,taboo,2.08344328972,0.501649945447,-1.7695598092,1.33336190609,-1.45235163252,-0.292048969548,-0.42799962696,-2.41296595299,3.33210828845,2.74109738643
20,,5.68434188608e-14,0,5.12509e-08,taboo,2.08344330648,0.501649979801,-1.76955981867,1.33336187282,-1.45235162033,-0.292048962711,-0.427999617918,-2.41296596657,3.33210830393,2.74109740405
21,,0,0,2.93521e-08,taboo,2.08344333164,0.501649957442,-1.76955983315,1.33336192492,-1.45235163893,-0.292048978305,-0.427999601128,-2.41296597625,3.33210830364,2.74109740269
22,,0,7,2.55515e-08,final,-0.730372643418,-4.15835095948,2.2726555911,-3.64823207034,-3.04015782764,1.44044137283,-3.95124186276,-3.69173072274,0.996407711849,2.30666247672
