problem,K,method,seed,arm,n_reported,mpr,mean_f1,score
M11-D10-PIN01,10,RR-CMA-ES,200,eps_loose+dedup,6,0.600000,0.750000,0.675000
M11-D10-PIN01,10,Restart-Lander,0,eps_loose+dedup,6,0.460000,0.575000,0.517500
M11-D10-PIN01,10,Restart-Lander,100,eps_loose+dedup,5,0.460000,0.613333,0.536667
M12-D10-PIN01,10,RR-CMA-ES,0,eps_loose+dedup,4,0.400000,0.571429,0.485714
M12-D10-PIN01,10,RR-CMA-ES,100,eps_loose+dedup,4,0.400000,0.571429,0.485714
M12-D10-PIN01,10,RR-CMA-ES,200,eps_loose+dedup,4,0.400000,0.571429,0.485714
M12-D10-PIN01,10,Restart-Lander,0,eps_loose+dedup,9,0.820000,0.863158,0.841579
M12-D10-PIN01,10,Restart-Lander,100,eps_loose+dedup,8,0.780000,0.866667,0.823333
M12-D10-PIN01,10,Restart-Lander,200,eps_loose+dedup,8,0.700000,0.777778,0.738889
M13-D10-PIN01,10,RR-CMA-ES,0,eps_loose+dedup,7,0.700000,0.823529,0.761765
M13-D10-PIN01,10,RR-CMA-ES,100,eps_loose+dedup,7,0.700000,0.823529,0.761765
M13-D10-PIN01,10,Restart-Lander,0,eps_loose+dedup,8,0.800000,0.888889,0.844444
M13-D10-PIN01,10,Restart-Lander,100,eps_loose+dedup,7,0.700000,0.823529,0.761765
M14-D10-PIN01,10,RR-CMA-ES,0,eps_loose+dedup,3,0.300000,0.461538,0.380769
M14-D10-PIN01,10,RR-CMA-ES,100,eps_loose+dedup,4,0.400000,0.571429,0.485714
M14-D10-PIN01,10,Restart-Lander,0,eps_loose+dedup,3,0.300000,0.461538,0.380769
M14-D10-PIN01,10,Restart-Lander,100,eps_loose+dedup,3,0.300000,0.461538,0.380769
M15-D10-PIN01,10,RR-CMA-ES,0,eps_loose+dedup,2,0.200000,0.333333,0.266667
M15-D10-PIN01,10,RR-CMA-ES,100,eps_loose+dedup,2,0.200000,0.333333,0.266667
M15-D10-PIN01,10,Restart-Lander,0,eps_loose+dedup,4,0.320000,0.457143,0.388571
M15-D10-PIN01,10,Restart-Lander,100,eps_loose+dedup,4,0.340000,0.485714,0.412857
M16-D10-PIN01,10,RR-CMA-ES,0,eps_loose+dedup,4,0.400000,0.571429,0.485714
M16-D10-PIN01,10,RR-CMA-ES,100,eps_loose+dedup,5,0.500000,0.666667,0.583333
M16-D10-PIN01,10,Restart-Lander,0,eps_loose+dedup,7,0.700000,0.823529,0.761765
M16-D10-PIN01,10,Restart-Lander,100,eps_loose+dedup,4,0.400000,0.571429,0.485714
