metric,basis,n,mean_diff,win,tie,loss,p,rb
mpr,seed 0,11,0.118182,7,1,3,0.0371094,0.7455
mpr,seed 100,11,0.131818,8,0,3,0.0419922,0.7121
mpr,seed 200,11,0.063636,6,1,4,0.193359,0.5091
mpr,3 seed 平均,11,0.104545,8,0,3,0.0322266,0.7273
score,seed 0,11,0.102548,7,1,3,0.0488281,0.7091
score,seed 100,11,0.114598,8,0,3,0.0537109,0.6667
score,seed 200,11,0.053537,6,1,4,0.193359,0.4909
score,3 seed 平均,11,0.090228,8,0,3,0.0673828,0.6364
