problem,K,arm,n_reported,mpr,mean_f1,score
M04-D10-PIN01,20,eps_tight_cap100,100.0,0.5250,0.1750,0.3500
M05-D10-PIN01,20,eps_tight_cap100,100.0,0.6500,0.2167,0.4333
M06-D10-PIN01,20,eps_tight_cap100,19.5,0.4000,0.4056,0.4028
M07-D10-PIN01,20,eps_tight_cap100,67.0,0.4000,0.1839,0.2920
M08-D10-PIN01,20,eps_tight_cap100,95.5,0.7250,0.2506,0.4878
M09-D10-PIN01,10,eps_tight_cap100,31.5,0.4500,0.2172,0.3336
M10-D10-PIN01,10,eps_tight_cap100,30.0,0.3000,0.1504,0.2252
M11-D10-PIN01,10,eps_tight_cap100,32.0,0.4000,0.1932,0.2966
M12-D10-PIN01,10,eps_tight_cap100,99.5,0.7000,0.1279,0.4139
M13-D10-PIN01,10,eps_tight_cap100,89.5,0.7500,0.1509,0.4505
M14-D10-PIN01,10,eps_tight_cap100,27.5,0.3000,0.1607,0.2304
M15-D10-PIN01,10,eps_tight_cap100,92.5,0.3000,0.0585,0.1793
M16-D10-PIN01,10,eps_tight_cap100,68.0,0.5500,0.1391,0.3446
M01-D10-PIN01,20,fdedup,12.5,0.1600,0.1951,0.1775
M02-D10-PIN01,20,fdedup,2.5,0.1100,0.1949,0.1524
M03-D10-PIN01,20,fdedup,6.0,0.1200,0.1846,0.1523
M04-D10-PIN01,20,fdedup,2.0,0.0650,0.1182,0.0916
M05-D10-PIN01,20,fdedup,4.5,0.0500,0.0817,0.0658
M06-D10-PIN01,20,fdedup,84.0,0.0500,0.0192,0.0346
M07-D10-PIN01,20,fdedup,34.5,0.2550,0.1874,0.2212
M08-D10-PIN01,20,fdedup,29.0,0.0700,0.0566,0.0633
M09-D10-PIN01,10,fdedup,26.0,0.2000,0.1111,0.1556
M10-D10-PIN01,10,fdedup,8.5,0.4300,0.4653,0.4476
M11-D10-PIN01,10,fdedup,15.5,0.1600,0.1295,0.1448
M12-D10-PIN01,10,fdedup,6.5,0.2000,0.2422,0.2211
M13-D10-PIN01,10,fdedup,7.0,0.1100,0.1294,0.1197
M14-D10-PIN01,10,fdedup,82.5,0.1000,0.0217,0.0608
M15-D10-PIN01,10,fdedup,23.5,0.2400,0.1437,0.1918
M16-D10-PIN01,10,fdedup,45.5,0.1200,0.0429,0.0815
M01-D10-PIN01,20,oracle_dedup,15.0,0.6750,0.7706,0.7228
M02-D10-PIN01,20,oracle_dedup,12.0,0.5750,0.7177,0.6463
M03-D10-PIN01,20,oracle_dedup,11.0,0.5300,0.6829,0.6065
M04-D10-PIN01,20,oracle_dedup,12.0,0.5750,0.7165,0.6458
M05-D10-PIN01,20,oracle_dedup,13.5,0.6750,0.8057,0.7404
