func,K,m,hit_sig050,ev_sig050,reach_sig050,mpr_sig050,mpr_earlystop_sig050,mpr_sup_sig050,mpr_sup_chao1_sig050,hit_sig100,ev_sig100,reach_sig100,mpr_sig100,mpr_earlystop_sig100,mpr_sup_sig100,mpr_sup_chao1_sig100,hit_iso,ev_iso,reach_iso,mpr_iso,mpr_earlystop_iso,mpr_sup_iso,mpr_sup_chao1_iso,hit_popsig,ev_popsig,reach_popsig,mpr_popsig,mpr_earlystop_popsig,mpr_sup_popsig,mpr_sup_chao1_popsig,d_mpr_sig050,d_lo_sig050,d_hi_sig050,moved_sig050,only_sig050,only_iso_vs_sig050,p_mcnemar_sig050,d_mpr_sig100,d_lo_sig100,d_hi_sig100,moved_sig100,only_sig100,only_iso_vs_sig100,p_mcnemar_sig100,max_mpr,argmax_mpr,max_mpr_earlystop,argmax_mpr_earlystop,max_mpr_sup,argmax_mpr_sup,max_mpr_sup_chao1,argmax_mpr_sup_chao1
M09-D10-PIN01,10,200,0.595,8588.8,5,0.4382123954195992,0.45571123858387325,0.5599999999999999,0.6,0.65,8347.2,5,0.4568039790618054,0.48005845469074304,0.54,0.54,0.72,7828.35,5,0.4775532193335418,0.49290548044864924,0.52,0.52,0.815,6740.6,5,0.5000387340131659,0.5140736198950322,0.54,0.54,-0.03934082391394256,-0.0825113207488635,0.007130564668956554,64,10,35,0.00024708778460080794,-0.020749240271736358,-0.0710529637468509,0.017299571810484478,59,11,25,0.028816719655878845,0.5000387340131659,popsig,0.5140736198950322,popsig,0.5599999999999999,sig050,0.6,sig050
M10-D10-PIN01,10,200,0.54,11841.7,4,0.6455884770392807,0.7693105241132736,0.8400000000000001,0.8466666666666667,0.615,11929.15,4,0.6485635647340138,0.7829501271633774,0.8200000000000001,0.8200000000000001,0.87,11414.55,4,0.49392819448959707,0.6565018156563113,0.68,0.68,0.955,11289.4,4,0.41461947237852287,0.5211209638319958,0.5399999999999999,0.5399999999999999,0.1516602825496836,0.09757866362174503,0.2021454631385653,95,4,70,1.2898469490022716e-16,0.1546353702444167,0.09737895581956643,0.19900051966825932,71,2,53,8.554268404736831e-14,0.6485635647340138,sig100,0.7829501271633774,sig100,0.8400000000000001,sig050,0.8466666666666667,sig050
M11-D10-PIN01,10,200,0.67,11031.55,5,0.5225856652750295,0.5537518234540959,0.6,0.6,0.67,10963.3,5,0.525688886060214,0.56109151650674,0.6,0.6,0.805,10535.2,5,0.5065431018476028,0.5496379556464767,0.58,0.58,0.905,10326.9,4,0.42236942897877927,0.4381559459800317,0.43999999999999995,0.43999999999999995,0.016042563427426715,-0.020536461001145204,0.05749169295925018,70,6,33,1.429926123819314e-05,0.01914578421261126,-0.018190037576533053,0.05795776554687971,69,3,30,1.4011748135089874e-06,0.525688886060214,sig100,0.56109151650674,sig100,0.6,sig050,0.6,sig050
M12-D10-PIN01,10,200,0.935,4938.6,7,0.722522110722509,0.7617668560461045,0.8,0.8,0.955,4506.2,7,0.7053847945409805,0.7593165538821356,0.8,0.82,0.985,3639.4,7,0.6665208985899514,0.7631351993168447,0.8,0.8366666666666667,1.0,3151.45,4,0.3958654872278008,0.39995066020454945,0.4,0.4,0.0560012121325576,0.018374643727500573,0.17297748058574783,75,0,10,0.001953125,0.038863895951029015,0.0056815937107053795,0.14309438673394312,60,0,6,0.03125,0.722522110722509,sig050,0.7631351993168447,iso,0.8,sig050,0.8366666666666667,iso
M13-D10-PIN01,10,200,0.725,4953.9,9,0.7785184980776404,0.8317126872003815,0.9,0.9,0.845,4531.95,8,0.7381653295190788,0.7662715530703477,0.8,0.8,0.825,4448.4,7,0.6952962693874517,nan,0.7,0.7,0.835,4603.05,8,0.6812123162771307,0.7324423845326946,0.8,0.9,0.0832222286901887,-0.04168048830850443,0.13932569432205935,78,23,43,0.01865726035402101,0.04286906013162706,-0.016905413513209386,0.09398320250597862,67,22,18,0.6358280026288412,0.7785184980776404,sig050,0.8317126872003815,sig050,0.9,sig050,0.9,sig050
M14-D10-PIN01,10,200,0.17,3800.45,3,0.2994158967077914,0.299651807875303,0.3,0.3,0.225,3650.8,3,0.29979658865010866,0.29991276997709954,0.3,0.3,0.27,3639.9,4,0.3482364396136817,0.35440106469101834,0.4,0.4,0.33,3514.35,4,0.3453433790688809,0.35503192668634953,0.4,0.4,-0.04882054290589033,-0.08897109314239016,0.012524977038860708,63,10,30,0.0022214337732293643,-0.04843985096357306,-0.08904106501431164,0.012995261749338896,52,12,21,0.16275565745308995,0.3482364396136817,iso,0.35503192668634953,popsig,0.4,iso,0.4,iso
M15-D10-PIN01,10,200,0.63,4386.2,4,0.3419199416464028,0.36462046672464093,0.4,0.4,0.795,4287.05,4,0.37867626385558084,0.41689725211668816,0.43999999999999995,0.43999999999999995,0.845,4243.75,3,0.31217099269196524,0.34446394713342016,0.36000000000000004,0.36000000000000004,0.9,4216.55,2,0.22688601929412006,0.25290771095182435,0.25999999999999995,0.25999999999999995,0.029748948954437582,-0.03571152462217532,0.09832142492044368,57,10,53,3.382168502403561e-08,0.0665052711636156,-0.01112343237583196,0.12856258492068848,37,17,27,0.17417114727072658,0.37867626385558084,sig100,0.41689725211668816,sig100,0.43999999999999995,sig100,0.43999999999999995,sig100
M16-D10-PIN01,10,200,0.425,5313.15,6,0.4127724173593335,0.4267845135713214,0.6,0.9,0.63,4412.35,6,0.5866867507062765,0.5942216505578235,0.6,0.6,0.715,4209.65,6,0.5605508104258086,0.5785252893696388,0.6,0.6,0.775,4206.0,6,0.5504590267208179,0.5753915459631087,0.6,0.6,-0.14777839306647506,-0.25385717806967184,-0.027680352750580322,74,8,66,1.8077410513282365e-12,0.02613594028046795,-0.03288224006606198,0.10908547147879794,55,24,41,0.0463534743329112,0.5866867507062765,sig100,0.5942216505578235,sig100,0.6,sig050,0.9,sig050
