function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
M01-D10-PIN01,NMMSO,current,0,500000,20,16,0.7500,0.7500,0.7500,0.7000,0.6000
M02-D10-PIN01,NMMSO,current,0,500000,20,15,0.7000,0.7000,0.7000,0.4500,0.4000
M03-D10-PIN01,NMMSO,current,0,500000,20,19,0.8000,0.7000,0.6000,0.3500,0.2000
M04-D10-PIN01,NMMSO,current,0,500000,20,15,0.7000,0.7000,0.7000,0.7000,0.7000
M05-D10-PIN01,NMMSO,current,0,500000,20,30,0.1500,0.1500,0.1500,0.1500,0.1500
M06-D10-PIN01,NMMSO,current,0,500000,20,100,0.0500,0.0500,0.0500,0.0500,0.0500
M07-D10-PIN01,NMMSO,current,0,500000,20,24,0.3500,0.2000,0.1500,0.1000,0.0500
M08-D10-PIN01,NMMSO,current,0,500000,20,29,0.5000,0.5000,0.5000,0.5000,0.5000
M09-D10-PIN01,NMMSO,current,0,500000,10,11,0.5000,0.4000,0.4000,0.4000,0.4000
M10-D10-PIN01,NMMSO,current,0,500000,10,12,1.0000,1.0000,1.0000,0.5000,0.3000
M11-D10-PIN01,NMMSO,current,0,500000,10,86,0.5000,0.3000,0.3000,0.0000,0.0000
M12-D10-PIN01,NMMSO,current,0,500000,10,10,0.8000,0.8000,0.8000,0.6000,0.6000
M13-D10-PIN01,NMMSO,current,0,500000,10,100,0.2000,0.1000,0.1000,0.1000,0.1000
M14-D10-PIN01,NMMSO,current,0,500000,10,100,0.1000,0.1000,0.1000,0.1000,0.1000
M15-D10-PIN01,NMMSO,current,0,500000,10,16,0.2000,0.2000,0.1000,0.1000,0.1000
M16-D10-PIN01,NMMSO,current,0,500000,10,100,0.2000,0.1000,0.0000,0.0000,0.0000
M01-D10-PIN01,NMMSO,current,1,500000,20,16,0.7500,0.7500,0.7000,0.6500,0.5500
M02-D10-PIN01,NMMSO,current,1,500000,20,17,0.7500,0.7500,0.7500,0.5500,0.4000
M03-D10-PIN01,NMMSO,current,1,500000,20,21,0.8000,0.6500,0.6000,0.4000,0.3000
M04-D10-PIN01,NMMSO,current,1,500000,20,12,0.5500,0.5000,0.5000,0.5000,0.5000
M10-D10-PIN01,NMMSO,current,1,500000,10,11,1.0000,1.0000,1.0000,0.4000,0.3000
