problem,K,series,n_reported,mpr,mean_f1,score
M01-D10-PIN01,20,NMMSO-10D（今回・新既定）,15.0,0.7100,0.8114,0.7607
M02-D10-PIN01,20,NMMSO-10D（今回・新既定）,14.0,0.5900,0.6941,0.6421
M03-D10-PIN01,20,NMMSO-10D（今回・新既定）,16.0,0.5300,0.5889,0.5594
M04-D10-PIN01,20,NMMSO-10D（今回・新既定）,14.0,0.7000,0.8235,0.7618
M05-D10-PIN01,20,NMMSO-10D（今回・新既定）,3.0,0.1500,0.2609,0.2054
M06-D10-PIN01,20,NMMSO-10D（今回・新既定）,1.0,0.0500,0.0952,0.0726
M07-D10-PIN01,20,NMMSO-10D（今回・新既定）,7.0,0.1700,0.2519,0.2109
M08-D10-PIN01,20,NMMSO-10D（今回・新既定）,10.0,0.5000,0.6667,0.5833
M09-D10-PIN01,10,NMMSO-10D（今回・新既定）,5.0,0.4200,0.5600,0.4900
M10-D10-PIN01,10,NMMSO-10D（今回・新既定）,10.0,0.7600,0.7600,0.7600
M11-D10-PIN01,10,NMMSO-10D（今回・新既定）,5.0,0.2200,0.2933,0.2567
M12-D10-PIN01,10,NMMSO-10D（今回・新既定）,8.0,0.7200,0.8000,0.7600
M13-D10-PIN01,10,NMMSO-10D（今回・新既定）,2.0,0.1200,0.2000,0.1600
M14-D10-PIN01,10,NMMSO-10D（今回・新既定）,1.0,0.1000,0.1818,0.1409
M15-D10-PIN01,10,NMMSO-10D（今回・新既定）,2.0,0.1400,0.2333,0.1867
M16-D10-PIN01,10,NMMSO-10D（今回・新既定）,2.0,0.0600,0.1000,0.0800
M01-D10-PIN01,20,NMMSO（その116・旧既定）,6.0,0.1400,0.2154,0.1777
M02-D10-PIN01,20,NMMSO（その116・旧既定）,14.0,0.2900,0.3412,0.3156
M03-D10-PIN01,20,NMMSO（その116・旧既定）,12.0,0.3600,0.4500,0.4050
M04-D10-PIN01,20,NMMSO（その116・旧既定）,7.0,0.2000,0.2963,0.2481
