seed,gopt,dist_start,f_start,f_cma_full,f_cma_iso,evals_full,evals_iso
2,0,8.126e-08,2.25159e-12,0,0,3120,2240
2,1,0.01088,0.0371601,6.9916e-13,0,3520,3250
2,4,0.004879,0.00568055,0,0,2130,2250
2,5,0.001531,0.000467257,0,0,3140,2000
