seed,gopt,dist_start,f_start,f_cma_full,f_cma_iso,evals_full,evals_iso
1,0,0.007295,0.0176731,0,0,2070,2230
1,1,0.008656,0.0236392,0,0,2280,3170
1,4,0.0141,0.0488493,0,0,2040,2200
1,5,1.452e-07,3.11442e-12,0,0,2070,3590
