descent,evals,best_f,land_opt,dist,stop
0,3430,0,8,4.61944e-09,tolflatfitness
1,3380,0,14,4.07653e-09,tolflatfitness
2,3530,0,14,5.02045e-09,tolflatfitness
3,3150,0,11,4.71887e-09,tolflatfitness
4,5100,0,16,9.79179e-09,tolflatfitness
5,3640,1.42108547152e-14,14,7.76778e-09,tolflatfitness
6,12510,0.0256505184468,13,0.0699153,maxfevals
7,12510,0.00106046459753,18,0.0124844,maxfevals
8,5220,1.42108547152e-14,12,1.54221e-08,tolflatfitness
9,3680,0,8,4.21959e-09,tolflatfitness
10,12510,1.67668810178e-05,3,0.00128224,maxfevals
11,3500,1.42108547152e-14,14,8.47533e-09,tolflatfitness
12,12510,1.97767807464e-05,3,0.00153373,maxfevals
13,3240,1.42108547152e-14,14,5.96061e-09,tolflatfitness
14,3870,1.42108547152e-14,5,1.25317e-08,tolflatfitness
15,5410,1.42108547152e-14,12,1.27875e-08,tolflatfitness
16,12510,0.00326087434375,1,0.0281344,maxfevals
17,3630,0,8,4.48563e-09,tolflatfitness
18,2840,0,7,3.4469e-09,tolflatfitness
19,4530,0,16,5.21539e-09,tolflatfitness
20,4600,0,16,7.14385e-09,tolflatfitness
21,5780,0,12,1.17703e-08,tolflatfitness
22,12510,5.05906427861e-12,9,5.90482e-07,maxfevals
23,3580,0,5,5.76242e-09,tolflatfitness
24,4760,0,16,4.63865e-09,tolflatfitness
25,3350,0,14,2.78324e-09,tolflatfitness
26,12510,1.1459052061e-05,3,0.00103182,maxfevals
27,8600,1.42108547152e-14,15,2.77508e-08,tolflatfitness
28,12510,0.00389960121288,13,0.0272789,maxfevals
29,4630,0,16,9.61072e-09,tolflatfitness
30,8100,4.26325641456e-14,15,4.04095e-08,tolflatfitness
31,4470,0,16,5.00763e-09,tolflatfitness
32,4960,0,16,4.10408e-09,tolflatfitness
33,12510,0.0334012688744,13,0.0785562,maxfevals
34,4760,0,16,6.95322e-09,tolflatfitness
35,3520,0,14,4.18738e-09,tolflatfitness
36,3420,1.42108547152e-14,14,8.8156e-09,tolflatfitness
37,6210,1.42108547152e-14,10,2.50772e-08,tolflatfitness
38,4630,0,16,7.79621e-09,tolflatfitness
39,12510,8.70196544156e-06,3,0.00100097,maxfevals
40,12510,0.0238742361474,13,0.0674046,maxfevals
41,8060,1.42108547152e-14,15,2.29646e-08,tolflatfitness
42,5250,1.42108547152e-14,16,1.35838e-08,tolflatfitness
43,4700,0,16,6.15251e-09,tolflatfitness
44,12510,2.1550003737e-07,3,0.000150079,maxfevals
45,5500,1.42108547152e-14,12,1.42223e-08,tolflatfitness
46,4520,1.42108547152e-14,12,1.52936e-08,tolflatfitness
47,12510,0.000492558570315,13,0.00968918,maxfevals
48,4520,1.42108547152e-14,16,1.18664e-08,tolflatfitness
49,5090,0,16,4.24982e-09,tolflatfitness
50,3460,0,5,6.70951e-09,tolflatfitness
51,12510,0.00697223511843,13,0.0365266,maxfevals
52,4820,1.42108547152e-14,12,2.04246e-08,tolflatfitness
53,12510,0.0395108903271,13,0.0875229,maxfevals
54,2880,1.42108547152e-14,7,6.8646e-09,tolflatfitness
55,3430,0,14,4.5888e-09,tolflatfitness
56,12510,0.000407402931316,13,0.00872724,maxfevals
57,5400,0,12,8.91528e-09,tolflatfitness
58,5620,0,12,6.07317e-09,tolflatfitness
59,3340,0,14,4.28597e-09,tolflatfitness
60,12510,3.493094259e-05,3,0.00193724,maxfevals
61,5610,1.42108547152e-14,12,1.5263e-08,tolflatfitness
62,3330,0,2,4.43016e-09,tolflatfitness
63,4720,2.84217094304e-14,12,1.95255e-08,tolflatfitness
64,4470,0,16,9.60465e-09,tolflatfitness
65,5020,0,16,6.07958e-09,tolflatfitness
66,12510,9.77975484773e-06,3,0.00103881,maxfevals
67,3910,1.42108547152e-14,5,1.0552e-08,tolflatfitness
68,3180,1.42108547152e-14,14,8.16999e-09,tolflatfitness
69,3140,0,11,5.37004e-09,tolflatfitness
70,3410,0,14,4.23581e-09,tolflatfitness
71,12510,2.00468733169e-07,0,0.000130663,maxfevals
72,5650,0,12,7.17681e-09,tolflatfitness
73,5480,0,12,5.59514e-09,tolflatfitness
74,12510,0.000427095512933,13,0.00881067,maxfevals
75,1770,3.1900391491e-05,5,0.000485774,budget
