descent,evals,best_f,land_opt,dist,stop
0,3560,9.61790647125e-11,16,1.54901e-11,tolxstagnation
1,3760,1.15514850661,1,0.373544,tolflatfitness
2,3940,2.72279976343e-11,16,4.36118e-12,tolxstagnation
3,3830,9.44737621467e-11,16,1.46132e-11,tolxstagnation
4,4030,6.86668499839e-11,12,1.1298e-11,tolxstagnation
5,3830,4.61000126961e-11,19,8.13788e-12,tolxstagnation
6,3990,1.15514870053,13,0.343205,tolflatfitness
7,4320,7.75344233261e-11,7,1.41007e-11,tolxstagnation
8,4040,6.91784407536e-11,3,1.03084e-11,tolxstagnation
9,2770,1.64622439343,16,0.259984,tolflatfitness
10,3940,7.37259142625e-11,3,1.33782e-11,tolxstagnation
11,3960,6.1675109464e-11,12,1.00549e-11,tolxstagnation
12,3730,6.08793015999e-11,12,1.10249e-11,tolxstagnation
13,4360,1.97246663447e-11,7,4.21884e-12,tolxstagnation
14,4150,6.99742486177e-11,12,1.25456e-11,tolxstagnation
15,4030,1.6462243469,13,0.51106,tolflatfitness
16,3640,7.56017470849e-11,16,1.204e-11,tolxstagnation
17,4030,2.8194335755e-11,19,4.62075e-12,tolxstagnation
18,3540,5.99698068982e-11,16,9.77618e-12,tolxstagnation
19,4470,2.9388047551e-11,14,8.05407e-12,tolxstagnation
20,3890,6.60520527163e-11,12,1.04314e-11,tolxstagnation
21,5190,3.04680725094e-11,13,9.48059e-12,tolxstagnation
22,5250,5.80939740757e-11,2,2.05451e-11,tolxstagnation
23,4060,4.8999027058e-11,3,7.2163e-12,tolxstagnation
24,5550,4.80895323562e-11,1,1.55064e-11,tolxstagnation
25,5070,3.95630195271e-11,10,1.0788e-11,tolxstagnation
26,5210,3.85966814065e-11,2,1.29521e-11,tolxstagnation
27,3920,8.15134626464e-11,16,1.34112e-11,tolxstagnation
28,3530,7.74207364884e-11,19,1.24521e-11,tolxstagnation
29,3660,7.3498540587e-11,16,1.19535e-11,tolxstagnation
30,2950,1.15514919333,16,0.181821,tolflatfitness
31,3530,1.25623955682e-10,12,2.157e-11,tolxstagnation
32,5260,3.73461261916e-11,1,1.26649e-11,tolxstagnation
33,4080,6.32667251921e-11,12,9.96503e-12,tolxstagnation
34,4630,9.18021214602e-11,10,2.46677e-11,tolxstagnation
35,3930,1.15515012985,2,0.389705,tolflatfitness
36,3790,4.59863258584e-11,19,8.07992e-12,tolxstagnation
37,3510,7.19069248589e-11,16,1.1365e-11,tolxstagnation
38,4960,4.17799128627e-11,10,1.19387e-11,tolxstagnation
39,3970,2.12537543121e-10,3,4.27265e-11,tolxstagnation
40,4570,6.02540239925e-12,3,1.27543e-12,tolxstagnation
41,4190,7.81028575148e-11,19,1.24234e-11,tolxstagnation
42,3760,7.05995262251e-11,12,1.26961e-11,tolxstagnation
43,3750,1.13516307465e-10,12,1.93429e-11,tolxstagnation
44,5180,4.85442797071e-11,2,1.71716e-11,tolxstagnation
45,4310,2.08615347219e-11,3,4.06469e-12,tolxstagnation
46,4920,3.50723894371e-11,10,9.63625e-12,tolxstagnation
47,5250,3.59818841389e-11,13,1.00815e-11,tolxstagnation
48,5250,3.49587025994e-11,10,9.64962e-12,tolxstagnation
49,3760,5.83213477512e-11,16,9.49455e-12,tolxstagnation
50,5540,1.83035808732e-11,1,5.38953e-12,tolxstagnation
51,4010,6.23003870714e-11,3,1.30012e-11,tolxstagnation
52,4880,3.48450157617e-11,13,1.05574e-11,tolxstagnation
53,5120,6.21867002337e-11,1,2.07771e-11,tolxstagnation
54,3740,2.66027200269e-11,16,4.34864e-12,tolxstagnation
55,4830,5.60476109968e-11,13,1.72707e-11,tolxstagnation
56,3050,1.15514879815,19,0.197894,tolflatfitness
57,3990,5.11590769747e-11,3,8.70699e-12,tolxstagnation
58,4070,8.69135874382e-11,3,1.69422e-11,tolxstagnation
59,3720,5.20685716765e-11,19,8.40582e-12,tolxstagnation
60,4610,3.20596882375e-11,14,8.7499e-12,tolxstagnation
61,4020,8.44693204272e-11,3,1.75181e-11,tolxstagnation
62,5020,4.75210981676e-11,10,1.35928e-11,tolxstagnation
63,4430,3.63797880709e-12,3,6.43869e-13,tolxstagnation
64,4010,8.3730355982e-11,12,1.19837e-11,tolxstagnation
65,3770,4.64979166281e-11,12,8.24176e-12,tolxstagnation
66,5750,4.06430444855e-11,2,1.43639e-11,tolxstagnation
67,5350,4.55315785075e-11,1,1.44746e-11,tolxstagnation
68,4030,8.1683992903e-11,7,1.52811e-11,tolxstagnation
69,3820,1.15514858081,10,0.315331,tolflatfitness
70,4840,1.58593138622e-11,10,4.49154e-12,tolxstagnation
71,3890,6.08793015999e-11,19,9.09542e-12,tolxstagnation
72,5020,2.43858266913e-11,13,5.06599e-12,tolxstagnation
73,3740,6.01971805736e-11,12,1.10884e-11,tolxstagnation
74,4910,9.53264134296e-11,10,2.72757e-11,tolxstagnation
