descent,evals,best_f,land_opt,dist,stop
0,3060,0,11,8.65671e-09,tolflatfitness
1,2920,0,11,9.3178e-09,tolflatfitness
2,3450,0,17,5.3753e-09,tolflatfitness
3,5360,0,5,4.04991e-09,tolflatfitness
4,3930,0,9,4.27924e-09,tolflatfitness
5,2930,0,4,5.60067e-09,tolflatfitness
6,3580,0,17,5.58371e-09,tolflatfitness
7,5720,1.42108547152e-14,5,1.7064e-08,tolflatfitness
8,3020,0,11,9.41713e-09,tolflatfitness
9,6830,0,5,6.48041e-09,tolflatfitness
10,3770,0,9,4.49827e-09,tolflatfitness
11,3080,0,4,8.16429e-09,tolflatfitness
12,2910,0,4,7.37609e-09,tolflatfitness
13,2980,0,4,8.09542e-09,tolflatfitness
14,3140,0,4,6.41467e-09,tolflatfitness
15,3360,0,17,5.0267e-09,tolflatfitness
16,6140,1.42108547152e-14,5,1.6089e-08,tolflatfitness
17,5830,2.84217094304e-14,5,2.06129e-08,tolflatfitness
18,3770,0,14,2.57477e-09,tolflatfitness
19,3150,0,4,6.38041e-09,tolflatfitness
20,3290,0,4,6.28186e-09,tolflatfitness
21,3310,0,17,5.83798e-09,tolflatfitness
22,9870,1.42108547152e-14,1,1.53625e-08,tolflatfitness
23,4840,2.84217094304e-14,16,2.34552e-08,tolflatfitness
24,3110,0,4,6.62405e-09,tolflatfitness
25,4980,0,16,5.41056e-09,tolflatfitness
26,2780,1.42108547152e-14,4,1.31439e-08,tolflatfitness
27,5700,1.42108547152e-14,5,1.66045e-08,tolflatfitness
28,5880,0,5,7.90166e-09,tolflatfitness
29,3550,1.42108547152e-14,17,1.00167e-08,tolflatfitness
30,6800,4.26325641456e-14,5,2.77303e-08,tolflatfitness
31,2740,0,4,7.82706e-09,tolflatfitness
32,2790,0,4,7.00719e-09,tolflatfitness
33,3130,0,11,8.35137e-09,tolflatfitness
34,4830,1.42108547152e-14,8,1.75929e-08,tolflatfitness
35,3780,1.42108547152e-14,14,1.0501e-08,tolflatfitness
36,10050,1.42108547152e-14,1,1.69049e-08,tolflatfitness
37,3580,0,14,6.38086e-09,tolflatfitness
38,3190,0,4,7.54714e-09,tolflatfitness
39,3450,0,14,4.9235e-09,tolflatfitness
40,3260,0,4,6.72605e-09,tolflatfitness
41,5860,1.42108547152e-14,5,1.13044e-08,tolflatfitness
42,3210,0,4,6.86346e-09,tolflatfitness
43,3060,0,4,6.49335e-09,tolflatfitness
44,3160,0,9,7.18362e-09,tolflatfitness
45,3110,0,11,9.40776e-09,tolflatfitness
