pid,sig_a,med_p_a,med_ratio_a,sig_b,med_p_b,med_ratio_b
M01,191,0.0,0.7323238126346121,134,0.037109375,0.7446320387703564
M02,197,0.0,0.706859773770815,119,0.04296875,0.7051222175727404
M03,199,0.0,0.7083173212604091,139,0.02734375,0.7173085348980441
M04,194,0.0,0.7192835194060461,129,0.037109375,0.74258843144503
M05,188,0.0,0.7274073818482691,148,0.01953125,0.719159716282117
M06,196,0.0,0.7174136818401069,133,0.02734375,0.7756761627711668
M07,175,0.002,0.7689095182641282,103,0.048828125,0.7977193866853096
M08,195,0.0,0.7162577638199819,124,0.037109375,0.7344163246955426
