func,K,m,hit_iso,hit_pop,ev_iso,ev_pop,reach_iso,reach_pop,mpr_iso,mpr_pop,d_mpr,d_lo,d_hi,es_iso,es_pop,sup_iso,sup_pop,chao_iso,chao_pop,landing_moved,hit_only_pop,hit_only_iso,p_mcnemar,iso_src
M09-D10-PIN01,10,200,0.72,0.815,7828.35,6740.6,5,5,0.4775532193335418,0.5000387340131659,0.02248551467962412,-0.007326239069352917,0.06428415541171806,0.49290548044864924,0.5140736198950322,0.52,0.54,0.52,0.54,83,33,14,0.007942726509483574,e94
M10-D10-PIN01,10,200,0.87,0.955,11414.55,11289.4,4,4,0.49392819448959707,0.41461947237852287,-0.0793087221110742,-0.11768174665177311,-0.031756931293561316,0.6565018156563113,0.5211209638319958,0.68,0.5399999999999999,0.68,0.5399999999999999,50,20,3,0.00048828125,e94
M11-D10-PIN01,10,200,0.805,0.905,10535.2,10326.9,5,4,0.5065431018476028,0.42236942897877927,-0.08417367286882349,-0.11376077977249095,-0.038942328016255814,0.5496379556464767,0.4381559459800317,0.58,0.43999999999999995,0.58,0.43999999999999995,79,23,3,8.797645568847656e-05,e94
M12-D10-PIN01,10,200,0.985,1.0,3639.4,3151.45,7,4,0.6665208985899514,0.3958654872278008,-0.27065541136215066,-0.3385299702586073,-0.11531955601195337,0.7631351993168447,0.39995066020454945,0.8,0.4,0.8366666666666667,0.4,35,3,0,0.25,e94
M13-D10-PIN01,10,200,0.825,0.835,4448.4,4603.05,7,8,0.6952962693874517,0.6812123162771307,-0.014083953110320957,-0.10276507376144785,0.05322533091556409,nan,0.7324423845326946,0.7,0.8,0.7,0.9,91,23,21,0.880395821280672,e91
M14-D10-PIN01,10,200,0.27,0.33,3639.9,3514.35,4,4,0.3482364396136817,0.3453433790688809,-0.0028930605448008184,-0.09828914092478126,0.08598742617529022,0.35440106469101834,0.35503192668634953,0.4,0.4,0.4,0.4,83,36,24,0.1550019040032606,e94
M15-D10-PIN01,10,200,0.845,0.9,4243.75,4216.55,3,2,0.31217099269196524,0.22688601929412006,-0.08528497339784519,-0.1352165346917126,-0.026585156176549746,0.34446394713342016,0.25290771095182435,0.36000000000000004,0.25999999999999995,0.36000000000000004,0.25999999999999995,33,21,10,0.07075554598122835,e94
M16-D10-PIN01,10,200,0.715,0.775,4209.65,4206.0,6,6,0.5605508104258086,0.5504590267208179,-0.010091783704990642,-0.09486749847372775,0.06259050849534,0.5785252893696388,0.5753915459631087,0.6,0.6,0.6,0.6,56,27,15,0.08842954698775429,e94
