function,method,seed,evals,eps,opt,width,pts,arrivals
N18-CF3-10D,NMMSO,0,400000,0.1,2,8.630155,0,0
N18-CF3-10D,NMMSO,0,400000,0.1,3,9.891001,0,0
N18-CF3-10D,NMMSO,0,400000,0.1,4,8.630155,595,593
N18-CF3-10D,NMMSO,0,400000,0.1,5,9.891001,437,432
N18-CF3-10D,NMMSO,0,400000,0.001,0,13.073342,0,0
N18-CF3-10D,NMMSO,0,400000,0.001,1,13.822251,0,0
N18-CF3-10D,NMMSO,0,400000,0.001,2,8.630155,0,0
N18-CF3-10D,NMMSO,0,400000,0.001,3,9.891001,0,0
N18-CF3-10D,NMMSO,0,400000,0.001,4,8.630155,0,0
N18-CF3-10D,NMMSO,0,400000,0.001,5,9.891001,0,0
N18-CF3-10D,NMMSO,200,400000,0.1,0,13.073342,4336,4317
N18-CF3-10D,NMMSO,200,400000,0.1,1,13.822251,3681,3681
N18-CF3-10D,NMMSO,200,400000,0.1,2,8.630155,0,0
N18-CF3-10D,NMMSO,200,400000,0.1,3,9.891001,0,0
N18-CF3-10D,NMMSO,200,400000,0.1,4,8.630155,1174,1174
N18-CF3-10D,NMMSO,200,400000,0.1,5,9.891001,4431,4431
N18-CF3-10D,NMMSO,200,400000,0.001,0,13.073342,3496,3496
N18-CF3-10D,NMMSO,200,400000,0.001,1,13.822251,3334,3334
N18-CF3-10D,NMMSO,200,400000,0.001,2,8.630155,0,0
N18-CF3-10D,NMMSO,200,400000,0.001,3,9.891001,0,0
N18-CF3-10D,NMMSO,200,400000,0.001,4,8.630155,0,0
N18-CF3-10D,NMMSO,200,400000,0.001,5,9.891001,1696,1696
N18-CF3-10D,NMMSO,100,400000,0.1,0,13.073342,352,352
N18-CF3-10D,NMMSO,100,400000,0.1,1,13.822251,3517,3517
N18-CF3-10D,NMMSO,100,400000,0.1,2,8.630155,0,0
N18-CF3-10D,NMMSO,100,400000,0.1,3,9.891001,0,0
N18-CF3-10D,NMMSO,100,400000,0.1,4,8.630155,941,941
N18-CF3-10D,NMMSO,100,400000,0.1,5,9.891001,4137,4113
N18-CF3-10D,NMMSO,100,400000,0.001,0,13.073342,0,0
N18-CF3-10D,NMMSO,100,400000,0.001,1,13.822251,3076,3076
N18-CF3-10D,NMMSO,100,400000,0.001,2,8.630155,0,0
N18-CF3-10D,NMMSO,100,400000,0.001,3,9.891001,0,0
N18-CF3-10D,NMMSO,100,400000,0.001,4,8.630155,748,748
N18-CF3-10D,NMMSO,100,400000,0.001,5,9.891001,3726,3726
N18-CF3-10D,NMMSO,300,400000,0.1,0,13.073342,0,0
N18-CF3-10D,NMMSO,300,400000,0.1,1,13.822251,3491,3491
N18-CF3-10D,NMMSO,300,400000,0.1,2,8.630155,0,0
N18-CF3-10D,NMMSO,300,400000,0.1,3,9.891001,0,0
N18-CF3-10D,NMMSO,300,400000,0.1,4,8.630155,2373,2373
N18-CF3-10D,NMMSO,300,400000,0.1,5,9.891001,5345,5345
N18-CF3-10D,NMMSO,300,400000,0.001,0,13.073342,0,0
N18-CF3-10D,NMMSO,300,400000,0.001,1,13.822251,3086,3086
N18-CF3-10D,NMMSO,300,400000,0.001,2,8.630155,0,0
N18-CF3-10D,NMMSO,300,400000,0.001,3,9.891001,0,0
N18-CF3-10D,NMMSO,300,400000,0.001,4,8.630155,2082,2082
N18-CF3-10D,NMMSO,300,400000,0.001,5,9.891001,4861,4861
N18-CF3-10D,NMMSO,400,400000,0.1,0,13.073342,9029,9008
N18-CF3-10D,NMMSO,400,400000,0.1,1,13.822251,3776,3776
N18-CF3-10D,NMMSO,400,400000,0.1,2,8.630155,0,0
N18-CF3-10D,NMMSO,400,400000,0.1,3,9.891001,0,0
N18-CF3-10D,NMMSO,400,400000,0.1,4,8.630155,8461,8089
N18-CF3-10D,NMMSO,400,400000,0.1,5,9.891001,8900,8898
N18-CF3-10D,NMMSO,400,400000,0.001,0,13.073342,8603,8603
N18-CF3-10D,NMMSO,400,400000,0.001,1,13.822251,3110,3110
N18-CF3-10D,NMMSO,400,400000,0.001,2,8.630155,0,0
N18-CF3-10D,NMMSO,400,400000,0.001,3,9.891001,0,0
