function,method,seed,scenario,regret,spread,wiped
F10-EllipsoidalRot,spread@1,1,23,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,24,0,0.00000,0
F10-EllipsoidalRot,spread@1,1,25,0,0.00000,0
F10-EllipsoidalRot,spread@1,1,26,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,27,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,28,0,0.00000,0
F10-EllipsoidalRot,spread@1,1,29,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,30,0,0.00000,0
F10-EllipsoidalRot,spread@1,1,31,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,32,0,0.00000,0
F10-EllipsoidalRot,spread@1,1,33,0,0.00000,0
F10-EllipsoidalRot,spread@1,1,34,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,35,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,36,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,37,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,38,0,0.00000,0
F10-EllipsoidalRot,spread@1,1,39,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,40,0,0.00000,0
F10-EllipsoidalRot,spread@1,1,41,0,0.00000,0
F10-EllipsoidalRot,spread@1,1,42,0,0.00000,0
F10-EllipsoidalRot,spread@1,1,43,0,0.00000,1
F10-EllipsoidalRot,spread@1,1,44,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,15,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,16,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,17,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,18,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,19,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,20,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,21,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,22,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,23,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,24,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,25,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,26,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,27,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,28,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,29,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,30,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,31,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,32,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,33,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,34,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,35,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,36,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,37,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,38,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,39,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,40,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,41,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,42,0,0.00000,0
F10-EllipsoidalRot,spread@2,1,43,0,0.00000,1
F10-EllipsoidalRot,spread@2,1,44,0,0.00000,0
F10-EllipsoidalRot,quality,2,15,0,0.00000,1
F10-EllipsoidalRot,quality,2,16,0,0.00000,0
F10-EllipsoidalRot,quality,2,17,0,0.00000,1
F10-EllipsoidalRot,quality,2,18,0,0.00000,0
F10-EllipsoidalRot,quality,2,19,0,0.00000,0
F10-EllipsoidalRot,quality,2,20,0,0.00000,0
F10-EllipsoidalRot,quality,2,21,0,0.00000,1
F10-EllipsoidalRot,quality,2,22,0,0.00000,1
F10-EllipsoidalRot,quality,2,23,0,0.00000,1
F10-EllipsoidalRot,quality,2,24,0,0.00000,0
F10-EllipsoidalRot,quality,2,25,0,0.00000,0
F10-EllipsoidalRot,quality,2,26,0,0.00000,1
F10-EllipsoidalRot,quality,2,27,0,0.00000,1
F10-EllipsoidalRot,quality,2,28,0,0.00000,1
F10-EllipsoidalRot,quality,2,29,0,0.00000,0
F10-EllipsoidalRot,quality,2,30,0,0.00000,0
F10-EllipsoidalRot,quality,2,31,0,0.00000,0
F10-EllipsoidalRot,quality,2,32,0,0.00000,0
F10-EllipsoidalRot,quality,2,33,0,0.00000,1
F10-EllipsoidalRot,quality,2,34,0,0.00000,0
F10-EllipsoidalRot,quality,2,35,0,0.00000,0
F10-EllipsoidalRot,quality,2,36,0,0.00000,1
F10-EllipsoidalRot,quality,2,37,0,0.00000,1
F10-EllipsoidalRot,quality,2,38,0,0.00000,0
F10-EllipsoidalRot,quality,2,39,0,0.00000,1
F10-EllipsoidalRot,quality,2,40,0,0.00000,1
F10-EllipsoidalRot,quality,2,41,0,0.00000,1
F10-EllipsoidalRot,quality,2,42,0,0.00000,1
F10-EllipsoidalRot,quality,2,43,0,0.00000,0
F10-EllipsoidalRot,quality,2,44,0,0.00000,0
F10-EllipsoidalRot,complement,2,15,0,0.00000,1
F10-EllipsoidalRot,complement,2,16,0,0.00000,0
F10-EllipsoidalRot,complement,2,17,0,0.00000,1
F10-EllipsoidalRot,complement,2,18,0,0.00000,0
F10-EllipsoidalRot,complement,2,19,0,0.00000,0
F10-EllipsoidalRot,complement,2,20,0,0.00000,0
F10-EllipsoidalRot,complement,2,21,0,0.00000,1
F10-EllipsoidalRot,complement,2,22,0,0.00000,1
F10-EllipsoidalRot,complement,2,23,0,0.00000,1
F10-EllipsoidalRot,complement,2,24,0,0.00000,0
F10-EllipsoidalRot,complement,2,25,0,0.00000,0
F10-EllipsoidalRot,complement,2,26,0,0.00000,1
F10-EllipsoidalRot,complement,2,27,0,0.00000,1
F10-EllipsoidalRot,complement,2,28,0,0.00000,1
F10-EllipsoidalRot,complement,2,29,0,0.00000,0
F10-EllipsoidalRot,complement,2,30,0,0.00000,0
F10-EllipsoidalRot,complement,2,31,0,0.00000,0
F10-EllipsoidalRot,complement,2,32,0,0.00000,0
F10-EllipsoidalRot,complement,2,33,0,0.00000,1
F10-EllipsoidalRot,complement,2,34,0,0.00000,0
F10-EllipsoidalRot,complement,2,35,0,0.00000,0
F10-EllipsoidalRot,complement,2,36,0,0.00000,1
F10-EllipsoidalRot,complement,2,37,0,0.00000,1
F10-EllipsoidalRot,complement,2,38,0,0.00000,0
F10-EllipsoidalRot,complement,2,39,0,0.00000,1
