arm,function,dim,K,seed,budget,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5,n_reported,hist_sup_pr_1e-5,near_0p1,requests,inf_answers,clipped,evals_recorded,pynmmso_counter,modes_returned,modes_finite,swarms,seconds
sw10d,N19-CF4-10D,10,8,100,400000,0.3750,0.3750,0.3750,0.3750,0.3750,100,0.3750,4,400043,43,0,400000,400043,109,109,109,32.4
sw10d,N19-CF4-10D,10,8,101,400000,0.5000,0.5000,0.5000,0.5000,0.5000,100,0.5000,4,400087,87,0,400000,400087,121,121,121,33.7
sw10d,N19-CF4-10D,10,8,102,400000,0.2500,0.1250,0.1250,0.1250,0.1250,91,0.1250,3,400072,72,0,400000,400072,91,91,91,29.8
sw10d,N19-CF4-10D,10,8,103,400000,0.5000,0.5000,0.5000,0.5000,0.5000,81,0.5000,4,400034,34,0,400000,400034,81,81,81,31.4
sw10d,N19-CF4-10D,10,8,104,400000,0.2500,0.2500,0.2500,0.2500,0.2500,100,0.2500,2,400085,85,0,400000,400085,203,203,203,36.8
