arm,function,dim,K,seed,budget,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5,n_reported,hist_sup_pr_1e-5,near_0p1,requests,inf_answers,clipped,evals_recorded,pynmmso_counter,modes_returned,modes_finite,swarms,seconds
nocut,N19-CF4-10D,10,8,100,400000,0.1250,0.1250,0.0000,0.0000,0.0000,100,0.0000,1,400051,0,0,400051,400051,340,340,340,41.8
nocut,N19-CF4-10D,10,8,101,400000,0.1250,0.1250,0.1250,0.1250,0.1250,100,0.1250,1,400025,0,0,400025,400025,825,825,825,59.4
nocut,N19-CF4-10D,10,8,102,400000,0.3750,0.3750,0.3750,0.2500,0.1250,100,0.1250,3,400017,0,0,400017,400017,100,100,100,31.2
nocut,N19-CF4-10D,10,8,103,400000,0.2500,0.2500,0.2500,0.1250,0.1250,99,0.1250,3,400112,0,0,400112,400112,99,99,99,34.5
nocut,N19-CF4-10D,10,8,104,400000,0.3750,0.3750,0.3750,0.3750,0.1250,100,0.1250,4,400073,0,0,400073,400073,496,496,496,42.1
