arm,function,dim,K,seed,budget,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5,n_reported,hist_sup_pr_1e-5,near_0p1,requests,inf_answers,clipped,evals_recorded,pynmmso_counter,modes_returned,modes_finite,swarms,seconds
noseed,N19-CF4-10D,10,8,100,400000,0.1250,0.1250,0.0000,0.0000,0.0000,100,0.0000,2,400062,62,0,400000,400062,889,889,889,60.3
noseed,N19-CF4-10D,10,8,101,400000,0.2500,0.2500,0.2500,0.0000,0.0000,100,0.0000,2,400069,69,0,400000,400069,541,541,541,48.6
noseed,N19-CF4-10D,10,8,102,400000,0.3750,0.3750,0.3750,0.3750,0.3750,81,0.3750,3,400055,55,0,400000,400055,81,81,81,30.5
noseed,N19-CF4-10D,10,8,103,400000,0.1250,0.1250,0.0000,0.0000,0.0000,100,0.0000,1,400072,72,0,400000,400072,769,769,769,53.5
noseed,N19-CF4-10D,10,8,104,400000,0.3750,0.3750,0.3750,0.2500,0.2500,78,0.2500,4,400038,38,0,400000,400038,78,78,78,28.6
