arm,function,dim,K,seed,budget,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5,n_reported,hist_sup_pr_1e-5,near_0p1,requests,inf_answers,clipped,evals_recorded,pynmmso_counter,modes_returned,modes_finite,swarms,seconds
base,N15-CF4-3D,3,8,100,400000,0.6250,0.6250,0.6250,0.6250,0.6250,100,0.6250,7,400068,68,0,400000,400068,798,798,798,54.0
base,N15-CF4-3D,3,8,101,400000,0.7500,0.7500,0.7500,0.7500,0.7500,100,0.7500,6,400028,28,0,400000,400028,732,732,732,48.9
base,N15-CF4-3D,3,8,102,400000,0.6250,0.6250,0.6250,0.6250,0.6250,100,0.6250,6,400014,14,0,400000,400014,693,693,693,49.3
