pid,idx,nn,tau,clustered,hits,reached
M14,8,8.147284997099407,5.500284695264273,0,5,1
M14,9,10.77060392791441,5.500284695264273,0,9,1
M15,0,9.876182409526955,5.5425973639753785,0,76,1
M15,1,10.456664876285707,5.5425973639753785,0,24,1
M15,2,6.337145589659005,5.5425973639753785,0,0,0
M15,3,8.242783941604095,5.5425973639753785,0,1,1
M15,4,10.506054621023688,5.5425973639753785,0,4,1
M15,5,8.583549103287048,5.5425973639753785,0,2,1
M15,6,8.898661416923195,5.5425973639753785,0,2,1
M15,7,7.181245651788706,5.5425973639753785,0,0,0
M15,8,10.323048080921174,5.5425973639753785,0,9,1
M15,9,6.337145589659005,5.5425973639753785,0,1,1
M16,0,9.435313021957315,5.493214362194341,0,42,1
M16,1,7.582001010740407,5.493214362194341,0,1,1
M16,2,10.422927543099357,5.493214362194341,0,2,1
M16,3,11.55827929048302,5.493214362194341,0,16,1
M16,4,8.679989783355813,5.493214362194341,0,2,1
M16,5,9.353736826436924,5.493214362194341,0,19,1
M16,6,12.280258078780415,5.493214362194341,0,11,1
M16,7,8.679989783355813,5.493214362194341,0,10,1
M16,8,8.269027293787811,5.493214362194341,0,8,1
M16,9,7.582001010740407,5.493214362194341,0,2,1
