problem,K,method,seeds,n_reported,mpr,mean_f1,score,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5,f1_1e-1,f1_1e-2,f1_1e-3,f1_1e-4,f1_1e-5
M12-D10-PIN01,10,Restart-Lander,2,100.0,0.7400,0.1345,0.4373,0.7500,0.7500,0.7500,0.7500,0.7000,0.1364,0.1364,0.1364,0.1364,0.1273
M12-D10-PIN01,10,NMMSO,2,10.0,0.1100,0.1100,0.1100,0.1500,0.1000,0.1000,0.1000,0.1000,0.1500,0.1000,0.1000,0.1000,0.1000
M12-D10-PIN01,10,MC-ESO,3,100.0,0.1067,0.0194,0.0630,0.1333,0.1000,0.1000,0.1000,0.1000,0.0242,0.0182,0.0182,0.0182,0.0182
M13-D10-PIN01,10,Restart-Lander,2,100.0,0.7500,0.1364,0.4432,0.7500,0.7500,0.7500,0.7500,0.7500,0.1364,0.1364,0.1364,0.1364,0.1364
M13-D10-PIN01,10,NMMSO,2,100.0,0.0300,0.0055,0.0177,0.1000,0.0500,0.0000,0.0000,0.0000,0.0182,0.0091,0.0000,0.0000,0.0000
M13-D10-PIN01,10,MC-ESO,3,100.0,0.1000,0.0182,0.0591,0.1000,0.1000,0.1000,0.1000,0.1000,0.0182,0.0182,0.0182,0.0182,0.0182
M14-D10-PIN01,10,Restart-Lander,2,100.0,0.3000,0.0545,0.1773,0.3000,0.3000,0.3000,0.3000,0.3000,0.0545,0.0545,0.0545,0.0545,0.0545
M14-D10-PIN01,10,NMMSO,2,100.0,0.0500,0.0091,0.0295,0.0500,0.0500,0.0500,0.0500,0.0500,0.0091,0.0091,0.0091,0.0091,0.0091
M14-D10-PIN01,10,MC-ESO,3,100.0,0.0467,0.0085,0.0276,0.0667,0.0667,0.0333,0.0333,0.0333,0.0121,0.0121,0.0061,0.0061,0.0061
M15-D10-PIN01,10,Restart-Lander,2,100.0,0.3000,0.0545,0.1773,0.3000,0.3000,0.3000,0.3000,0.3000,0.0545,0.0545,0.0545,0.0545,0.0545
M15-D10-PIN01,10,NMMSO,2,27.0,0.0100,0.0053,0.0076,0.0500,0.0000,0.0000,0.0000,0.0000,0.0263,0.0000,0.0000,0.0000,0.0000
M15-D10-PIN01,10,MC-ESO,3,100.0,0.0867,0.0158,0.0512,0.1000,0.1000,0.1000,0.0667,0.0667,0.0182,0.0182,0.0182,0.0121,0.0121
M16-D10-PIN01,10,Restart-Lander,2,100.0,0.5500,0.1000,0.3250,0.5500,0.5500,0.5500,0.5500,0.5500,0.1000,0.1000,0.1000,0.1000,0.1000
M16-D10-PIN01,10,NMMSO,2,100.0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
M16-D10-PIN01,10,MC-ESO,3,100.0,0.0800,0.0145,0.0473,0.1000,0.1000,0.1000,0.1000,0.0000,0.0182,0.0182,0.0182,0.0182,0.0000
