descent,evals,best_f,land_opt,dist,stop,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,4750,7.50759454604e-11,16,1.03289e-10,tolxstagnation,3.61019624462,-2.85791977847,3.28068244113,0.710866249846,1.18772173801,-3.43657903695,-2.19962605406,-0.431118301547,-3.00935292377,-1.65076599625
1,12510,7.36754941499e-08,18,7.54373e-07,maxfevals,0.661292236158,0.392620136236,-3.57484554822,2.01341832524,1.75364777936,0.321907102861,-1.7356577373,0.317087674542,-1.22218864442,1.69419291024
2,12510,1.06882964701e-08,4,9.6928e-08,maxfevals,-1.92703744858,-3.84620142603,3.14453260642,2.83731121257,2.58720752725,4.37001182472,-2.62165613528,-0.948697378688,2.81668070418,-3.49316604338
3,12510,9.94387505671e-09,4,9.18671e-08,maxfevals,-1.92703745904,-3.84620141888,3.144532607,2.83731121385,2.58720753618,4.37001181821,-2.6216561419,-0.948697387322,2.8166807267,-3.4931660354
4,5140,7.33848537493e-11,16,1.22557e-10,tolxstagnation,3.6101962447,-2.85791977856,3.28068244108,0.710866249903,1.18772173792,-3.43657903693,-2.19962605414,-0.431118301613,-3.00935292373,-1.6507659962
5,12510,8.42280201141e-09,4,8.07616e-08,maxfevals,-1.92703754587,-3.84620129951,3.1445326499,2.83731119678,2.58720756138,4.37001181186,-2.6216561442,-0.948697330314,2.8166807067,-3.49316605524
6,5130,6.51851905786e-11,16,1.07589e-10,tolxstagnation,3.6101962446,-2.85791977844,3.28068244115,0.710866249813,1.187721738,-3.43657903696,-2.19962605407,-0.431118301583,-3.00935292378,-1.65076599623
7,4690,1.18049570119e-10,16,1.52375e-10,tolxstagnation,3.61019624473,-2.85791977858,3.28068244112,0.710866249852,1.18772173789,-3.4365790369,-2.19962605415,-0.431118301649,-3.00935292375,-1.6507659962
8,12510,7.50961248741e-09,4,7.24513e-08,maxfevals,-1.92703747252,-3.84620140258,3.14453260957,2.83731121839,2.58720754322,4.37001180973,-2.62165613938,-0.948697376065,2.81668072962,-3.49316603331
9,12510,1.05809760953e-09,15,7.65368e-09,maxfevals,1.94373228132,-0.450413544191,-0.588811676401,1.3147978105,-1.11470258401,-1.61875927286,2.46039267051,3.41074611677,-0.515396644269,1.51138203019
10,12510,6.21713715532e-06,13,0.000132332,maxfevals,-1.56238434749,1.73285412374,3.16409205432,-2.45287486861,-2.12861584809,0.0541078967441,0.633315476379,-3.40510943072,1.34433931128,-2.20654969035
