function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,n_fire,same
F02-EllipsoidalSep,0,2680,1423,0.0,0.0,978,978,508,True
F02-EllipsoidalSep,1,2755,1394,0.0,0.0,929,929,555,True
F02-EllipsoidalSep,2,2730,1464,0.0,0.0,958,958,502,True
F02-EllipsoidalSep,3,2555,1333,0.0,0.0,819,819,494,True
F02-EllipsoidalSep,4,2725,1318,0.0,0.0,983,983,565,True
F02-EllipsoidalSep,5,2420,1199,0.0,0.0,944,944,524,True
F02-EllipsoidalSep,6,2550,1324,0.0,0.0,942,942,571,True
F02-EllipsoidalSep,7,2665,1443,0.0,0.0,978,978,526,True
F02-EllipsoidalSep,8,2590,1329,0.0,0.0,927,927,519,True
F02-EllipsoidalSep,9,2660,1399,0.0,0.0,938,938,510,True
F02-EllipsoidalSep,10,2655,1434,0.0,0.0,914,914,506,True
F02-EllipsoidalSep,11,2650,1428,0.0,0.0,1003,1003,532,True
F02-EllipsoidalSep,12,2575,1354,0.0,0.0,1014,1014,515,True
F02-EllipsoidalSep,13,2710,1489,0.0,0.0,1017,1017,464,True
F02-EllipsoidalSep,14,2580,1294,0.0,0.0,1126,1126,506,True
F02-EllipsoidalSep,15,2790,1568,0.0,0.0,974,974,519,True
F02-EllipsoidalSep,16,2480,1259,0.0,0.0,844,844,530,True
F02-EllipsoidalSep,17,2750,1448,0.0,0.0,1088,1088,524,True
F02-EllipsoidalSep,18,2690,1469,0.0,0.0,958,958,512,True
F02-EllipsoidalSep,19,2725,1504,0.0,0.0,988,988,489,True
F06-AttractiveSector,0,3840,2349,0.0,0.0,1648,1648,737,True
F06-AttractiveSector,1,3070,1589,2.842170943040401e-14,0.0,1084,1084,632,False
F06-AttractiveSector,2,-1,1942,4.3341344735381426e-08,4.3341344735381426e-08,-1,-1,2,True
F06-AttractiveSector,3,4120,2899,7.105427357601002e-15,0.0,2431,2431,655,False
F06-AttractiveSector,4,4070,2544,1.4210854715202004e-14,7.105427357601002e-15,2083,2083,861,False
F06-AttractiveSector,5,4620,3278,1.4210854715202004e-14,0.0,2843,2843,786,False
F06-AttractiveSector,6,4380,3023,0.0,0.0,1910,1910,723,True
F06-AttractiveSector,7,3600,2133,0.0,0.0,1673,1673,632,True
F06-AttractiveSector,8,3595,2373,0.0,0.0,1913,1913,878,True
F06-AttractiveSector,9,5385,4163,0.0,0.0,2067,2067,599,True
F06-AttractiveSector,10,3175,1778,0.0,0.0,1526,1526,889,True
F06-AttractiveSector,11,2855,1564,7.105427357601002e-15,0.0,1263,1263,572,False
F06-AttractiveSector,12,4430,3189,0.0,0.0,2057,2057,868,True
F06-AttractiveSector,13,4090,2598,5.684341886080802e-14,0.0,1977,1977,678,False
F06-AttractiveSector,14,4505,3014,7.105427357601002e-14,0.0,2369,2369,780,False
F06-AttractiveSector,15,4165,2944,7.105427357601002e-15,0.0,2034,2034,602,False
F06-AttractiveSector,16,3539,2303,2.1316282072803006e-14,0.0,1958,1958,794,False
F06-AttractiveSector,17,3894,2598,2.842170943040401e-14,0.0,1891,1891,646,False
F06-AttractiveSector,18,4370,2859,2.842170943040401e-14,0.0,1818,1818,584,False
F06-AttractiveSector,19,3910,2358,7.105427357601002e-15,0.0,1809,1809,617,False
F10-EllipsoidalRot,0,2770,1474,0.0,0.0,1049,1049,497,True
F10-EllipsoidalRot,1,2890,1619,0.0,0.0,1102,1102,551,True
F10-EllipsoidalRot,2,2930,1693,0.0,0.0,888,888,465,True
F10-EllipsoidalRot,3,2660,1404,0.0,0.0,941,941,480,True
F10-EllipsoidalRot,4,2940,1719,0.0,0.0,1168,1168,480,True
F10-EllipsoidalRot,5,2755,1534,0.0,0.0,1004,1004,491,True
F10-EllipsoidalRot,6,2745,1509,0.0,0.0,1038,1038,515,True
F10-EllipsoidalRot,7,2570,1253,0.0,0.0,975,975,507,True
F10-EllipsoidalRot,8,3035,1814,0.0,0.0,1254,1254,460,True
F10-EllipsoidalRot,9,2710,1443,0.0,0.0,1068,1068,506,True
F10-EllipsoidalRot,10,2665,1343,0.0,0.0,838,838,461,True
F10-EllipsoidalRot,11,2710,1489,0.0,0.0,918,918,492,True
F10-EllipsoidalRot,12,2680,1338,0.0,0.0,989,989,491,True
F10-EllipsoidalRot,13,2675,1414,0.0,0.0,974,974,465,True
F10-EllipsoidalRot,14,2675,1414,0.0,0.0,1182,1182,515,True
F10-EllipsoidalRot,15,2940,1719,0.0,0.0,1003,1003,496,True
F10-EllipsoidalRot,16,2490,1269,0.0,0.0,1031,1031,501,True
F10-EllipsoidalRot,17,2780,1558,0.0,0.0,1139,1139,490,True
F10-EllipsoidalRot,18,2830,1609,0.0,0.0,1123,1123,492,True
F10-EllipsoidalRot,19,2775,1552,0.0,0.0,1213,1213,514,True
F14-DiffPowers,0,3565,2198,0.0,0.0,958,958,364,True
F14-DiffPowers,1,3440,1949,0.0,0.0,1104,1104,346,True
F14-DiffPowers,2,3675,2258,0.0,0.0,1214,1214,359,True
F14-DiffPowers,3,3270,1944,0.0,0.0,1073,1073,335,True
F14-DiffPowers,4,3235,1738,0.0,0.0,993,993,368,True
F14-DiffPowers,5,3470,2033,0.0,0.0,1129,1129,335,True
F14-DiffPowers,6,3695,2349,0.0,0.0,999,999,362,True
F14-DiffPowers,7,3365,1883,0.0,0.0,839,839,383,True
F14-DiffPowers,8,3350,2044,0.0,0.0,1104,1104,318,True
F14-DiffPowers,9,3655,2129,0.0,0.0,1186,1186,345,True
F14-DiffPowers,10,3760,2364,0.0,0.0,1417,1417,328,True
F14-DiffPowers,11,3145,1739,0.0,0.0,947,947,360,True
F14-DiffPowers,12,3935,2384,0.0,0.0,1327,1327,324,True
F14-DiffPowers,13,3390,1983,0.0,0.0,1053,1053,378,True
F14-DiffPowers,14,3355,1863,0.0,0.0,1143,1143,379,True
F14-DiffPowers,15,5455,4814,1.6271428648906294e-12,0.0,1619,1619,341,False
F14-DiffPowers,16,3535,2074,0.0,0.0,943,943,345,True
F14-DiffPowers,17,3260,1829,0.0,0.0,928,928,343,True
F14-DiffPowers,18,3580,2089,0.0,0.0,968,968,364,True
F14-DiffPowers,19,3795,2309,0.0,0.0,1189,1189,328,True
F18-SchafferF7ill,0,4240,2598,3.552713678800501e-15,3.552713678800501e-15,1898,1898,441,True
F18-SchafferF7ill,1,4000,2358,3.552713678800501e-15,3.552713678800501e-15,1668,1668,416,True
F18-SchafferF7ill,2,4960,3318,3.552713678800501e-15,3.552713678800501e-15,2064,2064,330,True
F18-SchafferF7ill,3,19394,17753,3.552713678800501e-15,3.552713678800501e-15,17013,17013,50,True
F18-SchafferF7ill,4,4759,3118,3.552713678800501e-15,3.552713678800501e-15,2488,2488,438,True
F18-SchafferF7ill,5,4915,3274,3.552713678800501e-15,3.552713678800501e-15,2154,2154,322,True
F18-SchafferF7ill,6,4950,3308,3.552713678800501e-15,3.552713678800501e-15,2193,2193,318,True
F18-SchafferF7ill,7,3840,2583,8.419931418757187e-13,3.552713678800501e-15,1618,1618,433,False
F18-SchafferF7ill,8,4255,2673,9.308109838457312e-13,3.552713678800501e-15,1753,1753,429,False
