function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,n_fire,same
F23-Katsuura,37,-1,3464,0.0,0.0,2658,2658,6,True
F23-Katsuura,38,4100,2459,0.0,0.0,2148,2148,58,True
F23-Katsuura,39,1368,4636,0.0,6.7141582338337e-07,4331,-1,6,False
F23-Katsuura,40,3885,2243,0.0,0.0,2088,2088,140,True
F23-Katsuura,41,4090,3084,4.504997264120902e-09,4.504997264120902e-09,-1,-1,42,True
F23-Katsuura,42,3925,2363,3.9835423848444407e-10,3.9835423848444407e-10,-1,-1,45,True
F23-Katsuura,43,4025,2383,6.181721801112872e-13,6.181721801112872e-13,2034,2034,46,True
F23-Katsuura,44,4800,3158,7.422507053433947e-12,7.422507053433947e-12,2078,2078,25,True
F23-Katsuura,45,3965,2324,0.0,0.0,2159,2159,125,True
F23-Katsuura,46,4080,2439,0.0,0.0,2003,2003,71,True
F23-Katsuura,47,4910,3268,0.0,0.0,2723,2723,41,True
F23-Katsuura,48,-1,1838,2.0651890890732716e-06,2.0651890890732716e-06,-1,-1,3,True
F23-Katsuura,49,4000,2358,0.0,0.0,2149,2149,51,True
F23-Katsuura,50,4783,3142,0.0,0.0,2812,2812,29,True
F23-Katsuura,51,3880,2238,0.0,0.0,2004,2004,59,True
F23-Katsuura,52,-1,2058,2.5311396401050956e-06,2.5311396401050956e-06,-1,-1,2,True
F23-Katsuura,53,4130,2489,1.2372325386422744e-12,1.2372325386422744e-12,2079,2079,46,True
F23-Katsuura,54,4195,3008,1.7864110191112559e-09,1.7864110191112559e-09,-1,-1,47,True
F23-Katsuura,55,-1,2054,5.884102076691988e-07,5.884102076691988e-07,-1,-1,0,True
F23-Katsuura,56,4805,3164,0.0,0.0,2814,2814,38,True
F23-Katsuura,57,3870,2778,3.4157068284912384e-09,7.076357277924217e-10,-1,-1,46,False
F23-Katsuura,58,4120,2478,0.0,0.0,2063,2063,43,True
F23-Katsuura,59,3605,2509,5.365094057907527e-08,0.0,-1,4713,48,False
