K,base_cnt,base_cost,base_hi,base_hit,base_lo,base_n,base_reach,base_restarts,e88,func,pub,rl_cnt,rl_cost,rl_hi,rl_hit,rl_lo,rl_n,rl_reach,rl_restarts,thr
6,4.0,1107.47,4.0,0.97,3.999999999999985,600,"[0, 1, 4, 5]",361.1835986527852,4.0,N14-CF3-3D,0.793,4.444065863797003,1136.4616666666666,4.8317667461499125,0.9333333333333333,4.0,600,"[0, 1, 2, 4, 5]",351.9696367526695,4.758
8,5.847884813703012,1377.7983333333334,5.966247738384941,0.4066666666666667,5.294906411185458,600,"[0, 1, 2, 3, 6, 7]",290.31824928418405,5.58,N15-CF4-3D,0.75,5.985530194144664,1718.325,5.997790624207572,0.505,5.851047431189254,600,"[0, 1, 2, 3, 6, 7]",232.78483406806046,6.0
6,3.9999999999999467,1501.08,4.0,0.9433333333333334,3.9999999999472746,600,"[0, 1, 4, 5]",266.4748048072055,4.0,N16-CF3-5D,0.677,3.9999999999999956,1757.7733333333333,4.0,0.925,3.999999999995862,600,"[0, 1, 4, 5]",227.56062594342842,4.062
8,5.826512473153141,1503.2933333333333,5.969710064896018,0.5783333333333334,5.329065054918771,600,"[0, 1, 2, 3, 6, 7]",266.08246782619494,5.84,N17-CF4-5D,0.745,5.761750697344695,2256.1066666666666,5.929261710151425,0.6283333333333333,5.2476549460938315,600,"[0, 1, 2, 3, 6, 7]",177.2965817219044,5.96
6,2.9295991459264927,1500.0,2.989898834422316,0.09166666666666666,2.571475255796407,600,"[1, 4, 5]",266.6666666666667,3.29,N18-CF3-10D,0.667,3.987467828952725,3617.25,3.9967079391756277,0.97,3.9368802303511665,600,"[0, 1, 4, 5]",110.58124265671435,4.002000000000001
8,1.3267806549399248,1500.0,1.7246260415287131,0.008333333333333333,0.35905730590933393,600,"[2, 3]",266.6666666666667,3.89,N19-CF4-10D,0.512,4.13240930797901,4242.1,4.380703817160585,0.7766666666666666,3.952537636012461,600,"[0, 2, 3, 6, 7]",94.292920958959,4.096
8,0.0,1500.0,0.0,0.0,0.0,600,[],266.6666666666667,2.54,N20-CF4-20D,0.465,3.6178281755120545,8448.16,3.765823870077485,0.94,3.3665256436375803,600,"[2, 3, 6, 7]",47.347588113861484,3.72
