function,method,seed,scenario,regret
F01-Sphere,r3pso,0,33,7.23518e-10
F01-Sphere,r3pso,0,34,2.2747e-09
F01-Sphere,r3pso,0,35,4.20443e-11
F01-Sphere,r3pso,0,36,6.39789e-10
F01-Sphere,r3pso,0,37,2.07821e-10
F01-Sphere,r3pso,0,38,9.50235e-10
F01-Sphere,r3pso,0,39,4.30503e-09
F01-Sphere,r3pso,0,40,6.96416e-09
F01-Sphere,r3pso,0,41,3.4089e-09
F01-Sphere,r3pso,0,42,1.01697e-09
F01-Sphere,r3pso,0,43,2.69742e-09
F01-Sphere,r3pso,0,44,2.0829e-09
F01-Sphere,NM-Restart,0,15,1.83208e-09
F01-Sphere,NM-Restart,0,16,4.2166e-09
F01-Sphere,NM-Restart,0,17,4.18913e-09
F01-Sphere,NM-Restart,0,18,4.0795e-09
F01-Sphere,NM-Restart,0,19,3.4436e-09
F01-Sphere,NM-Restart,0,20,3.92714e-09
F01-Sphere,NM-Restart,0,21,3.76587e-09
F01-Sphere,NM-Restart,0,22,3.57502e-09
F01-Sphere,NM-Restart,0,23,1.15445e-09
F01-Sphere,NM-Restart,0,24,4.26132e-09
F01-Sphere,NM-Restart,0,25,2.7758e-09
F01-Sphere,NM-Restart,0,26,4.19104e-09
F01-Sphere,NM-Restart,0,27,3.53148e-09
F01-Sphere,NM-Restart,0,28,0
F01-Sphere,NM-Restart,0,29,2.55799e-09
F01-Sphere,NM-Restart,0,30,1.65448e-09
F01-Sphere,NM-Restart,0,31,2.09748e-09
F01-Sphere,NM-Restart,0,32,3.8022e-09
F01-Sphere,NM-Restart,0,33,3.12321e-09
F01-Sphere,NM-Restart,0,34,0
F01-Sphere,NM-Restart,0,35,3.37592e-09
F01-Sphere,NM-Restart,0,36,3.21246e-09
F01-Sphere,NM-Restart,0,37,3.40332e-09
F01-Sphere,NM-Restart,0,38,2.7611e-09
F01-Sphere,NM-Restart,0,39,3.66861e-09
F01-Sphere,NM-Restart,0,40,4.21783e-09
F01-Sphere,NM-Restart,0,41,5.57155e-10
F01-Sphere,NM-Restart,0,42,2.60967e-09
F01-Sphere,NM-Restart,0,43,2.96461e-09
