function,K,eps,seed,evals,visited,reported,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f
N09-Vincent3D,216,0.1,0,40000,216,28,42,14,88,62,62,62,62,0.0
N09-Vincent3D,216,0.1,1,40000,216,28,48,20,91,65,65,65,65,0.0
N09-Vincent3D,216,0.1,2,40000,216,25,25,0,85,59,59,59,59,0.0
N09-Vincent3D,216,0.001,0,40000,25,24,42,18,88,62,62,62,62,0.0
N09-Vincent3D,216,0.001,1,40000,30,28,48,20,91,65,65,65,65,0.0
N09-Vincent3D,216,0.001,2,40000,28,25,25,0,85,59,59,59,57,0.0
N09-Vincent3D,216,1e-05,0,40000,25,24,42,18,88,62,62,62,61,0.0
N09-Vincent3D,216,1e-05,1,40000,27,27,48,21,91,65,65,65,62,0.0
N09-Vincent3D,216,1e-05,2,40000,22,21,25,4,85,59,59,59,52,0.0
