function,method,seed,scenario,regret
F01-Sphere,MAP-Elites,0,25,0.011428
F01-Sphere,MAP-Elites,0,26,0.0155872
F01-Sphere,MAP-Elites,0,27,0.0149674
F01-Sphere,MAP-Elites,0,28,0.00628316
F01-Sphere,MAP-Elites,0,29,0
F01-Sphere,MAP-Elites,0,30,0.0108205
F01-Sphere,MAP-Elites,0,31,0
F01-Sphere,MAP-Elites,0,32,0.015498
F01-Sphere,MAP-Elites,0,33,0
F01-Sphere,MAP-Elites,0,34,0.00558587
F01-Sphere,MAP-Elites,0,35,0
F01-Sphere,MAP-Elites,0,36,0
F01-Sphere,MAP-Elites,0,37,0
F01-Sphere,MAP-Elites,0,38,0
F01-Sphere,MAP-Elites,0,39,0.0139234
F01-Sphere,MAP-Elites,0,40,0.0161628
F01-Sphere,MAP-Elites,0,41,0.00822286
F01-Sphere,MAP-Elites,0,42,0
F01-Sphere,MAP-Elites,0,43,0.0119406
F01-Sphere,MAP-Elites,0,44,0.00846206
F01-Sphere,quality,0,15,1.50833e-08
F01-Sphere,quality,0,16,8.89999e-06
F01-Sphere,quality,0,17,2.15818e-06
F01-Sphere,quality,0,18,4.52827e-06
F01-Sphere,quality,0,19,0.00295263
F01-Sphere,quality,0,20,9.18429e-06
F01-Sphere,quality,0,21,0.00147938
F01-Sphere,quality,0,22,0.00219001
F01-Sphere,quality,0,23,0.000974274
F01-Sphere,quality,0,24,7.78504e-06
F01-Sphere,quality,0,25,8.35488e-06
F01-Sphere,quality,0,26,8.96335e-06
F01-Sphere,quality,0,27,4.62058e-06
F01-Sphere,quality,0,28,9.5637e-10
F01-Sphere,quality,0,29,0.00416349
F01-Sphere,quality,0,30,0
F01-Sphere,quality,0,31,0.00323729
F01-Sphere,quality,0,32,5.55281e-06
F01-Sphere,quality,0,33,0.00494543
F01-Sphere,quality,0,34,2.20439e-09
F01-Sphere,quality,0,35,0.00392472
F01-Sphere,quality,0,36,0.00498234
F01-Sphere,quality,0,37,0.00442089
F01-Sphere,quality,0,38,0.00450949
F01-Sphere,quality,0,39,9.13414e-06
F01-Sphere,quality,0,40,7.44546e-06
F01-Sphere,quality,0,41,0
F01-Sphere,quality,0,42,0.00425612
F01-Sphere,quality,0,43,8.56624e-06
F01-Sphere,quality,0,44,6.7959e-06
F01-Sphere,complement,0,15,1.50833e-08
F01-Sphere,complement,0,16,8.89999e-06
F01-Sphere,complement,0,17,2.15818e-06
F01-Sphere,complement,0,18,4.52827e-06
F01-Sphere,complement,0,19,0.00295263
F01-Sphere,complement,0,20,9.18429e-06
F01-Sphere,complement,0,21,0.00147938
F01-Sphere,complement,0,22,0.00219001
F01-Sphere,complement,0,23,0.000974274
F01-Sphere,complement,0,24,7.78504e-06
F01-Sphere,complement,0,25,8.35488e-06
F01-Sphere,complement,0,26,8.96335e-06
F01-Sphere,complement,0,27,4.62058e-06
F01-Sphere,complement,0,28,9.5637e-10
F01-Sphere,complement,0,29,0.00416349
F01-Sphere,complement,0,30,0
F01-Sphere,complement,0,31,0.00323729
F01-Sphere,complement,0,32,5.55281e-06
F01-Sphere,complement,0,33,0.00494543
F01-Sphere,complement,0,34,2.20439e-09
F01-Sphere,complement,0,35,0.00392472
F01-Sphere,complement,0,36,0.00498234
F01-Sphere,complement,0,37,0.00442089
F01-Sphere,complement,0,38,0.00450949
F01-Sphere,complement,0,39,9.13414e-06
F01-Sphere,complement,0,40,7.44546e-06
F01-Sphere,complement,0,41,0
F01-Sphere,complement,0,42,0.00425612
F01-Sphere,complement,0,43,8.56624e-06
F01-Sphere,complement,0,44,6.7959e-06
F01-Sphere,MC-ESO,1,15,0.000144773
F01-Sphere,MC-ESO,1,16,6.29722e-09
F01-Sphere,MC-ESO,1,17,6.87292e-09
F01-Sphere,MC-ESO,1,18,0.0013958
F01-Sphere,MC-ESO,1,19,0.00294995
F01-Sphere,MC-ESO,1,20,6.38306e-06
F01-Sphere,MC-ESO,1,21,9.20583e-09
F01-Sphere,MC-ESO,1,22,0.00228746
F01-Sphere,MC-ESO,1,23,0.000708478
F01-Sphere,MC-ESO,1,24,1.57289e-08
F01-Sphere,MC-ESO,1,25,0.00409758
F01-Sphere,MC-ESO,1,26,4.86089e-06
F01-Sphere,MC-ESO,1,27,0.00116179
F01-Sphere,MC-ESO,1,28,6.47438e-09
F01-Sphere,MC-ESO,1,29,7.20496e-07
F01-Sphere,MC-ESO,1,30,0.00183435
F01-Sphere,MC-ESO,1,31,3.90297e-06
F01-Sphere,MC-ESO,1,32,0.000211468
F01-Sphere,MC-ESO,1,33,0.00018302
F01-Sphere,MC-ESO,1,34,2.24003e-08
F01-Sphere,MC-ESO,1,35,0.000578017
F01-Sphere,MC-ESO,1,36,8.46704e-09
F01-Sphere,MC-ESO,1,37,4.96267e-07
F01-Sphere,MC-ESO,1,38,6.6089e-09
F01-Sphere,MC-ESO,1,39,0.00403329
F01-Sphere,MC-ESO,1,40,1.35757e-08
F01-Sphere,MC-ESO,1,41,2.70449e-08
F01-Sphere,MC-ESO,1,42,1.28792e-08
F01-Sphere,MC-ESO,1,43,0.000158255
F01-Sphere,MC-ESO,1,44,8.65914e-07
F01-Sphere,NMMSO,1,15,0.000144787
F01-Sphere,NMMSO,1,16,1.61003e-08
F01-Sphere,NMMSO,1,17,1.51712e-08
F01-Sphere,NMMSO,1,18,0.00139581
F01-Sphere,NMMSO,1,19,0.00294996
F01-Sphere,NMMSO,1,20,6.39872e-06
F01-Sphere,NMMSO,1,21,7.24568e-09
F01-Sphere,NMMSO,1,22,0.00228744
F01-Sphere,NMMSO,1,23,0.00070849
F01-Sphere,NMMSO,1,24,2.59879e-09
F01-Sphere,NMMSO,1,25,0.00409757
F01-Sphere,NMMSO,1,26,4.87939e-06
F01-Sphere,NMMSO,1,27,0.00116181
F01-Sphere,NMMSO,1,28,1.58343e-08
F01-Sphere,NMMSO,1,29,7.39935e-07
F01-Sphere,NMMSO,1,30,0.00183433
F01-Sphere,NMMSO,1,31,3.92235e-06
F01-Sphere,NMMSO,1,32,0.000211449
F01-Sphere,NMMSO,1,33,0.000183
F01-Sphere,NMMSO,1,34,4.00789e-08
F01-Sphere,NMMSO,1,35,0.000578029
F01-Sphere,NMMSO,1,36,1.11258e-08
F01-Sphere,NMMSO,1,37,5.15578e-07
F01-Sphere,NMMSO,1,38,1.5621e-08
F01-Sphere,NMMSO,1,39,0.00403328
F01-Sphere,NMMSO,1,40,4.16203e-09
F01-Sphere,NMMSO,1,41,4.5995e-08
F01-Sphere,NMMSO,1,42,4.54444e-09
F01-Sphere,NMMSO,1,43,0.000158268
F01-Sphere,NMMSO,1,44,8.85429e-07
F01-Sphere,NCDE,1,15,0.000144775
F01-Sphere,NCDE,1,16,7.14786e-09
F01-Sphere,NCDE,1,17,7.52721e-09
F01-Sphere,NCDE,1,18,0.0013958
F01-Sphere,NCDE,1,19,0.00294995
F01-Sphere,NCDE,1,20,6.38519e-06
F01-Sphere,NCDE,1,21,8.58943e-09
F01-Sphere,NCDE,1,22,0.00228746
F01-Sphere,NCDE,1,23,0.00070848
F01-Sphere,NCDE,1,24,1.38581e-08
F01-Sphere,NCDE,1,25,0.00409758
F01-Sphere,NCDE,1,26,4.86326e-06
F01-Sphere,NCDE,1,27,0.0011618
F01-Sphere,NCDE,1,28,7.26687e-09
F01-Sphere,NCDE,1,29,7.22762e-07
F01-Sphere,NCDE,1,30,0.00183435
F01-Sphere,NCDE,1,31,3.90539e-06
F01-Sphere,NCDE,1,32,0.000211466
F01-Sphere,NCDE,1,33,0.000183017
F01-Sphere,NCDE,1,34,2.43588e-08
F01-Sphere,NCDE,1,35,0.000578018
F01-Sphere,NCDE,1,36,8.40949e-09
F01-Sphere,NCDE,1,37,4.98506e-07
F01-Sphere,NCDE,1,38,7.35594e-09
F01-Sphere,NCDE,1,39,0.00403329
F01-Sphere,NCDE,1,40,1.21037e-08
F01-Sphere,NCDE,1,41,2.92161e-08
F01-Sphere,NCDE,1,42,1.15271e-08
F01-Sphere,NCDE,1,43,0.000158257
F01-Sphere,NCDE,1,44,8.68196e-07
F01-Sphere,r3pso,1,15,0.000144789
F01-Sphere,r3pso,1,16,8.43929e-09
F01-Sphere,r3pso,1,17,7.52969e-09
F01-Sphere,r3pso,1,18,0.00139581
F01-Sphere,r3pso,1,19,0.00294996
F01-Sphere,r3pso,1,20,6.39994e-06
F01-Sphere,r3pso,1,21,9.3053e-10
F01-Sphere,r3pso,1,22,0.00228745
F01-Sphere,r3pso,1,23,0.000708493
F01-Sphere,r3pso,1,24,0
F01-Sphere,r3pso,1,25,0.00409758
F01-Sphere,r3pso,1,26,4.8784e-06
F01-Sphere,r3pso,1,27,0.00116181
F01-Sphere,r3pso,1,28,8.17335e-09
F01-Sphere,r3pso,1,29,7.34923e-07
F01-Sphere,r3pso,1,30,0.00183433
F01-Sphere,r3pso,1,31,3.92024e-06
F01-Sphere,r3pso,1,32,0.000211451
F01-Sphere,r3pso,1,33,0.000183002
F01-Sphere,r3pso,1,34,3.37254e-08
F01-Sphere,r3pso,1,35,0.000578032
F01-Sphere,r3pso,1,36,3.9798e-09
F01-Sphere,r3pso,1,37,5.104e-07
F01-Sphere,r3pso,1,38,7.96343e-09
F01-Sphere,r3pso,1,39,0.00403329
F01-Sphere,r3pso,1,40,0
F01-Sphere,r3pso,1,41,4.04481e-08
F01-Sphere,r3pso,1,42,0
F01-Sphere,r3pso,1,43,0.000158271
F01-Sphere,r3pso,1,44,8.80526e-07
F01-Sphere,NM-Restart,1,15,0.000144782
F01-Sphere,NM-Restart,1,16,0
F01-Sphere,NM-Restart,1,17,0
F01-Sphere,NM-Restart,1,18,0.00139581
F01-Sphere,NM-Restart,1,19,0.00294996
F01-Sphere,NM-Restart,1,20,6.39096e-06
F01-Sphere,NM-Restart,1,21,0
F01-Sphere,NM-Restart,1,22,0.00228746
F01-Sphere,NM-Restart,1,23,0.000708487
F01-Sphere,NM-Restart,1,24,7.01306e-09
F01-Sphere,NM-Restart,1,25,0.00409759
F01-Sphere,NM-Restart,1,26,4.86697e-06
F01-Sphere,NM-Restart,1,27,0.0011618
F01-Sphere,NM-Restart,1,28,0
