function,method,seed,scenario,regret
F01-Sphere,r3pso,0,32,1.4083e-08
F01-Sphere,r3pso,0,33,1.44704e-09
F01-Sphere,r3pso,0,34,4.54939e-09
F01-Sphere,r3pso,0,35,1.96017e-09
F01-Sphere,r3pso,0,36,1.27958e-09
F01-Sphere,r3pso,0,37,1.53257e-09
F01-Sphere,r3pso,0,38,1.90047e-09
F01-Sphere,r3pso,0,39,8.61009e-09
F01-Sphere,r3pso,0,40,1.39284e-08
F01-Sphere,r3pso,0,41,6.81783e-09
F01-Sphere,r3pso,0,42,2.03393e-09
F01-Sphere,r3pso,0,43,5.39487e-09
F01-Sphere,r3pso,0,44,3.63975e-09
F01-Sphere,NM-Restart,0,15,3.66418e-09
F01-Sphere,NM-Restart,0,16,8.43323e-09
F01-Sphere,NM-Restart,0,17,9.73102e-09
F01-Sphere,NM-Restart,0,18,8.6537e-09
F01-Sphere,NM-Restart,0,19,9.41116e-09
F01-Sphere,NM-Restart,0,20,7.8543e-09
F01-Sphere,NM-Restart,0,21,9.94399e-09
F01-Sphere,NM-Restart,0,22,9.75448e-09
F01-Sphere,NM-Restart,0,23,2.3089e-09
F01-Sphere,NM-Restart,0,24,8.52267e-09
F01-Sphere,NM-Restart,0,25,5.55163e-09
F01-Sphere,NM-Restart,0,26,8.3821e-09
F01-Sphere,NM-Restart,0,27,7.06298e-09
F01-Sphere,NM-Restart,0,28,0
F01-Sphere,NM-Restart,0,29,5.11597e-09
F01-Sphere,NM-Restart,0,30,3.30899e-09
F01-Sphere,NM-Restart,0,31,4.19496e-09
F01-Sphere,NM-Restart,0,32,7.60443e-09
F01-Sphere,NM-Restart,0,33,6.24643e-09
F01-Sphere,NM-Restart,0,34,0
F01-Sphere,NM-Restart,0,35,8.62793e-09
F01-Sphere,NM-Restart,0,36,6.42492e-09
F01-Sphere,NM-Restart,0,37,7.92357e-09
F01-Sphere,NM-Restart,0,38,5.52219e-09
F01-Sphere,NM-Restart,0,39,7.33724e-09
F01-Sphere,NM-Restart,0,40,8.43569e-09
F01-Sphere,NM-Restart,0,41,1.11434e-09
F01-Sphere,NM-Restart,0,42,5.21935e-09
F01-Sphere,NM-Restart,0,43,5.92925e-09
