function,method,seed,n_report,spread,distinct,quality
F03-RastriginSep,IPOP-CMA-ES,1,52,0.09992,2,0.00993156
F03-RastriginSep,DE,1,30,0.00000,1,0
F03-RastriginSep,PSO,1,30,0.10233,2,0.124373
F03-RastriginSep,Crowding-DE,1,30,0.15129,5,0.0245168
F03-RastriginSep,MAP-Elites,1,399,0.12676,5,0.0363907
F03-RastriginSep,MC-ESO-crowd,1,32,0.15725,5,0.0332178
F03-RastriginSep,MC-ESO,2,25,0.00000,1,0
F03-RastriginSep,NMMSO,2,21,0.19816,5,0.0232058
F03-RastriginSep,NCDE,2,30,0.15195,5,0.0247024
F03-RastriginSep,r3pso,2,30,0.10598,2,0.0116059
F03-RastriginSep,NM-Restart,2,27,0.13492,5,0.109067
F03-RastriginSep,IPOP-CMA-ES,2,52,0.26242,3,0.0317816
F03-RastriginSep,DE,2,30,0.00000,1,0
F03-RastriginSep,PSO,2,30,0.08228,2,0.178394
F03-RastriginSep,Crowding-DE,2,30,0.14976,5,0.0240195
F03-RastriginSep,MAP-Elites,2,400,0.11678,5,0.0248705
F03-RastriginSep,MC-ESO-crowd,2,37,0.20070,5,0.0304575
F04-BucheRastrigin,MC-ESO,0,28,0.17230,5,0.0515288
F04-BucheRastrigin,NMMSO,0,13,0.15364,5,0.028207
F04-BucheRastrigin,NCDE,0,30,0.12038,5,0.0210362
F04-BucheRastrigin,r3pso,0,30,0.09974,2,0.00371255
F04-BucheRastrigin,NM-Restart,0,26,0.16233,5,0.0549148
F04-BucheRastrigin,IPOP-CMA-ES,0,52,0.09594,2,0.0185524
F04-BucheRastrigin,DE,0,30,0.00000,1,0
F04-BucheRastrigin,PSO,0,30,0.00000,1,4.87566e-14
F04-BucheRastrigin,Crowding-DE,0,30,0.11921,5,0.0230118
F04-BucheRastrigin,MAP-Elites,0,400,0.12250,5,0.0411292
F04-BucheRastrigin,MC-ESO-crowd,0,38,0.15233,5,0.0296941
F04-BucheRastrigin,MC-ESO,1,24,0.00000,1,0
F04-BucheRastrigin,NMMSO,1,22,0.11536,5,0.0207787
F04-BucheRastrigin,NCDE,1,30,0.11875,5,0.0215061
F04-BucheRastrigin,r3pso,1,30,0.09964,2,0.00371048
F04-BucheRastrigin,NM-Restart,1,26,0.14672,5,0.0356206
F04-BucheRastrigin,IPOP-CMA-ES,1,52,0.12082,4,0.0218255
F04-BucheRastrigin,DE,1,30,0.00000,1,0
F04-BucheRastrigin,PSO,1,30,0.00000,1,1.14472e-14
F04-BucheRastrigin,Crowding-DE,1,30,0.12164,5,0.0224874
F04-BucheRastrigin,MAP-Elites,1,400,0.12246,5,0.0328632
F04-BucheRastrigin,MC-ESO-crowd,1,39,0.12028,5,0.0269007
F04-BucheRastrigin,MC-ESO,2,28,0.13503,5,0.0639637
F04-BucheRastrigin,NMMSO,2,18,0.11890,5,0.0242911
F04-BucheRastrigin,NCDE,2,30,0.11745,5,0.0230649
F04-BucheRastrigin,r3pso,2,30,0.09961,2,0.00371066
F04-BucheRastrigin,NM-Restart,2,15,0.17809,5,0.0786618
F04-BucheRastrigin,IPOP-CMA-ES,2,52,0.09965,2,0.00371048
F04-BucheRastrigin,DE,2,30,0.00000,1,0
F04-BucheRastrigin,PSO,2,30,0.05690,2,0.091043
F04-BucheRastrigin,Crowding-DE,2,30,0.12114,5,0.0212253
F04-BucheRastrigin,MAP-Elites,2,400,0.13585,5,0.0369429
F04-BucheRastrigin,MC-ESO-crowd,2,37,0.15128,5,0.0368367
F05-LinearSlope,MC-ESO,0,34,0.27915,5,8.07624
F05-LinearSlope,NMMSO,0,1,0.00000,1,0
F05-LinearSlope,NCDE,0,30,0.69535,4,15.7015
F05-LinearSlope,r3pso,0,30,0.00000,1,0
F05-LinearSlope,NM-Restart,0,191,0.95329,3,29.1021
F05-LinearSlope,IPOP-CMA-ES,0,101,0.05174,2,0.25961
F05-LinearSlope,DE,0,30,0.00000,1,0
F05-LinearSlope,PSO,0,30,0.00000,1,0.0101961
F05-LinearSlope,Crowding-DE,0,30,0.12138,5,1.15572
F05-LinearSlope,MAP-Elites,0,400,0.18458,5,1.67211
F05-LinearSlope,MC-ESO-crowd,0,38,0.16921,5,1.63551
F05-LinearSlope,MC-ESO,1,34,0.27721,5,3.63537
F05-LinearSlope,NMMSO,1,1,0.00000,1,0
F05-LinearSlope,NCDE,1,30,0.34273,5,3.41053
F05-LinearSlope,r3pso,1,30,0.00000,1,0
F05-LinearSlope,NM-Restart,1,188,1.00000,2,5
F05-LinearSlope,IPOP-CMA-ES,1,101,0.00000,1,0
F05-LinearSlope,DE,1,30,0.00000,1,0
F05-LinearSlope,PSO,1,30,0.00000,1,0
F05-LinearSlope,Crowding-DE,1,30,0.09197,4,0.806732
F05-LinearSlope,MAP-Elites,1,400,0.12969,5,1.22746
F05-LinearSlope,MC-ESO-crowd,1,32,0.13690,5,1.69109
F05-LinearSlope,MC-ESO,2,33,0.71197,5,34.3675
