function,method,seed,scenario,regret
F01-Sphere,NM-Restart,0,42,8.39931e-05
F01-Sphere,NM-Restart,0,43,4.28693e-06
F01-Sphere,NM-Restart,0,44,3.39913e-06
F01-Sphere,IPOP-CMA-ES,0,15,1.51594e-08
F01-Sphere,IPOP-CMA-ES,0,16,4.45417e-06
F01-Sphere,IPOP-CMA-ES,0,17,3.27697e-05
F01-Sphere,IPOP-CMA-ES,0,18,7.37231e-06
F01-Sphere,IPOP-CMA-ES,0,19,7.72131e-05
F01-Sphere,IPOP-CMA-ES,0,20,4.59425e-06
F01-Sphere,IPOP-CMA-ES,0,21,6.48931e-05
F01-Sphere,IPOP-CMA-ES,0,22,7.08761e-05
F01-Sphere,IPOP-CMA-ES,0,23,5.27033e-05
F01-Sphere,IPOP-CMA-ES,0,24,3.89896e-06
F01-Sphere,IPOP-CMA-ES,0,25,4.17492e-06
F01-Sphere,IPOP-CMA-ES,0,26,4.48559e-06
F01-Sphere,IPOP-CMA-ES,0,27,2.3186e-06
F01-Sphere,IPOP-CMA-ES,0,28,7.13986e-09
F01-Sphere,IPOP-CMA-ES,0,29,8.30631e-05
F01-Sphere,IPOP-CMA-ES,0,30,9.54707e-09
F01-Sphere,IPOP-CMA-ES,0,31,7.4e-05
F01-Sphere,IPOP-CMA-ES,0,32,2.78446e-06
F01-Sphere,IPOP-CMA-ES,0,33,9.15353e-05
F01-Sphere,IPOP-CMA-ES,0,34,7.15253e-09
F01-Sphere,IPOP-CMA-ES,0,35,8.50839e-05
F01-Sphere,IPOP-CMA-ES,0,36,9.22263e-05
F01-Sphere,IPOP-CMA-ES,0,37,8.89188e-05
F01-Sphere,IPOP-CMA-ES,0,38,8.65934e-05
F01-Sphere,IPOP-CMA-ES,0,39,4.56789e-06
F01-Sphere,IPOP-CMA-ES,0,40,3.72956e-06
F01-Sphere,IPOP-CMA-ES,0,41,8.05212e-09
F01-Sphere,IPOP-CMA-ES,0,42,8.39957e-05
F01-Sphere,IPOP-CMA-ES,0,43,4.28122e-06
F01-Sphere,IPOP-CMA-ES,0,44,3.39225e-06
F01-Sphere,DE,0,15,1.43565e-08
F01-Sphere,DE,0,16,4.4618e-06
F01-Sphere,DE,0,17,3.27724e-05
F01-Sphere,DE,0,18,7.37701e-06
F01-Sphere,DE,0,19,7.72109e-05
F01-Sphere,DE,0,20,4.60232e-06
F01-Sphere,DE,0,21,6.48925e-05
F01-Sphere,DE,0,22,7.08748e-05
F01-Sphere,DE,0,23,5.26954e-05
F01-Sphere,DE,0,24,3.90538e-06
F01-Sphere,DE,0,25,4.18261e-06
F01-Sphere,DE,0,26,4.4933e-06
F01-Sphere,DE,0,27,2.32196e-06
F01-Sphere,DE,0,28,2.58102e-09
F01-Sphere,DE,0,29,8.30552e-05
F01-Sphere,DE,0,30,8.37901e-09
F01-Sphere,DE,0,31,7.39919e-05
F01-Sphere,DE,0,32,2.78869e-06
F01-Sphere,DE,0,33,9.15285e-05
F01-Sphere,DE,0,34,2.16035e-09
