function,method,seed,scenario,regret
F01-Sphere,r3pso,0,35,4.70901e-09
F01-Sphere,r3pso,0,36,7.08665e-09
F01-Sphere,r3pso,0,37,5.46593e-09
F01-Sphere,r3pso,0,38,7.83015e-09
F01-Sphere,r3pso,0,39,9.15136e-06
F01-Sphere,r3pso,0,40,7.47332e-06
F01-Sphere,r3pso,0,41,1.36357e-08
F01-Sphere,r3pso,0,42,7.91702e-09
F01-Sphere,r3pso,0,43,8.57703e-06
F01-Sphere,r3pso,0,44,6.79653e-06
F01-Sphere,NM-Restart,0,15,2.24117e-08
F01-Sphere,NM-Restart,0,16,8.91686e-06
F01-Sphere,NM-Restart,0,17,2.15475e-06
F01-Sphere,NM-Restart,0,18,4.52959e-06
F01-Sphere,NM-Restart,0,19,1.7265e-08
F01-Sphere,NM-Restart,0,20,9.19999e-06
F01-Sphere,NM-Restart,0,21,1.56659e-08
F01-Sphere,NM-Restart,0,22,1.64803e-08
F01-Sphere,NM-Restart,0,23,6.62148e-09
F01-Sphere,NM-Restart,0,24,7.80209e-06
F01-Sphere,NM-Restart,0,25,8.36598e-06
F01-Sphere,NM-Restart,0,26,8.98011e-06
F01-Sphere,NM-Restart,0,27,4.63471e-06
F01-Sphere,NM-Restart,0,28,0
F01-Sphere,NM-Restart,0,29,1.40188e-08
F01-Sphere,NM-Restart,0,30,6.61801e-09
F01-Sphere,NM-Restart,0,31,1.16081e-08
F01-Sphere,NM-Restart,0,32,5.56802e-06
F01-Sphere,NM-Restart,0,33,1.69295e-08
F01-Sphere,NM-Restart,0,34,0
F01-Sphere,NM-Restart,0,35,1.80445e-08
F01-Sphere,NM-Restart,0,36,1.73773e-08
F01-Sphere,NM-Restart,0,37,1.82479e-08
F01-Sphere,NM-Restart,0,38,1.50736e-08
F01-Sphere,NM-Restart,0,39,9.14881e-06
F01-Sphere,NM-Restart,0,40,7.46233e-06
F01-Sphere,NM-Restart,0,41,2.2287e-09
F01-Sphere,NM-Restart,0,42,1.42879e-08
F01-Sphere,NM-Restart,0,43,8.5781e-06
F01-Sphere,NM-Restart,0,44,6.80249e-06
F01-Sphere,IPOP-CMA-ES,0,15,2.9755e-08
F01-Sphere,IPOP-CMA-ES,0,16,8.91362e-06
F01-Sphere,IPOP-CMA-ES,0,17,2.14637e-06
F01-Sphere,IPOP-CMA-ES,0,18,4.52061e-06
F01-Sphere,IPOP-CMA-ES,0,19,1.23852e-08
F01-Sphere,IPOP-CMA-ES,0,20,9.19494e-06
F01-Sphere,IPOP-CMA-ES,0,21,9.32263e-09
F01-Sphere,IPOP-CMA-ES,0,22,1.07708e-08
F01-Sphere,IPOP-CMA-ES,0,23,1.40074e-08
F01-Sphere,IPOP-CMA-ES,0,24,7.80156e-06
F01-Sphere,IPOP-CMA-ES,0,25,8.35817e-06
F01-Sphere,IPOP-CMA-ES,0,26,8.97662e-06
F01-Sphere,IPOP-CMA-ES,0,27,4.63844e-06
F01-Sphere,IPOP-CMA-ES,0,28,8.95373e-09
F01-Sphere,IPOP-CMA-ES,0,29,1.79806e-08
F01-Sphere,IPOP-CMA-ES,0,30,1.4191e-08
F01-Sphere,IPOP-CMA-ES,0,31,1.70039e-08
F01-Sphere,IPOP-CMA-ES,0,32,5.57072e-06
F01-Sphere,IPOP-CMA-ES,0,33,1.82143e-08
F01-Sphere,IPOP-CMA-ES,0,34,9.00735e-09
F01-Sphere,IPOP-CMA-ES,0,35,1.4592e-08
F01-Sphere,IPOP-CMA-ES,0,36,1.80158e-08
F01-Sphere,IPOP-CMA-ES,0,37,1.58497e-08
F01-Sphere,IPOP-CMA-ES,0,38,1.82414e-08
F01-Sphere,IPOP-CMA-ES,0,39,9.14283e-06
F01-Sphere,IPOP-CMA-ES,0,40,7.46241e-06
F01-Sphere,IPOP-CMA-ES,0,41,1.08232e-08
F01-Sphere,IPOP-CMA-ES,0,42,1.80594e-08
F01-Sphere,IPOP-CMA-ES,0,43,8.57057e-06
F01-Sphere,IPOP-CMA-ES,0,44,6.79368e-06
F01-Sphere,DE,0,15,3.29525e-08
F01-Sphere,DE,0,16,8.92783e-06
F01-Sphere,DE,0,17,2.14655e-06
F01-Sphere,DE,0,18,4.5247e-06
F01-Sphere,DE,0,19,4.2832e-09
F01-Sphere,DE,0,20,9.20887e-06
F01-Sphere,DE,0,21,3.81178e-09
F01-Sphere,DE,0,22,4.04752e-09
F01-Sphere,DE,0,23,2.00369e-09
F01-Sphere,DE,0,24,7.81499e-06
F01-Sphere,DE,0,25,8.36946e-06
F01-Sphere,DE,0,26,8.99084e-06
F01-Sphere,DE,0,27,4.64815e-06
F01-Sphere,DE,0,28,5.16204e-09
F01-Sphere,DE,0,29,3.78687e-09
F01-Sphere,DE,0,30,1.6758e-08
F01-Sphere,DE,0,31,3.21814e-09
F01-Sphere,DE,0,32,5.58163e-06
F01-Sphere,DE,0,33,4.43666e-09
F01-Sphere,DE,0,34,4.32071e-09
F01-Sphere,DE,0,35,4.54084e-09
F01-Sphere,DE,0,36,4.52749e-09
F01-Sphere,DE,0,37,4.63465e-09
F01-Sphere,DE,0,38,4.02921e-09
F01-Sphere,DE,0,39,9.15627e-06
F01-Sphere,DE,0,40,7.4755e-06
F01-Sphere,DE,0,41,9.63e-09
F01-Sphere,DE,0,42,3.84916e-09
F01-Sphere,DE,0,43,8.58236e-06
F01-Sphere,DE,0,44,6.8018e-06
F01-Sphere,PSO,0,15,2.6698e-08
