function,method,seed,scenario,regret
F01-Sphere,r3pso,0,36,0.00498231
F01-Sphere,r3pso,0,37,0.00442086
F01-Sphere,r3pso,0,38,0.00450947
F01-Sphere,r3pso,0,39,9.15136e-06
F01-Sphere,r3pso,0,40,7.47332e-06
F01-Sphere,r3pso,0,41,1.36357e-08
F01-Sphere,r3pso,0,42,0.0042561
F01-Sphere,r3pso,0,43,8.57703e-06
F01-Sphere,r3pso,0,44,6.79653e-06
F01-Sphere,NM-Restart,0,15,2.24117e-08
F01-Sphere,NM-Restart,0,16,8.91686e-06
F01-Sphere,NM-Restart,0,17,6.73279e-05
F01-Sphere,NM-Restart,0,18,1.65337e-05
F01-Sphere,NM-Restart,0,19,0.00295262
F01-Sphere,NM-Restart,0,20,9.19999e-06
F01-Sphere,NM-Restart,0,21,0.00147937
F01-Sphere,NM-Restart,0,22,0.00219
F01-Sphere,NM-Restart,0,23,0.000974262
F01-Sphere,NM-Restart,0,24,7.80209e-06
F01-Sphere,NM-Restart,0,25,8.36598e-06
F01-Sphere,NM-Restart,0,26,8.98011e-06
F01-Sphere,NM-Restart,0,27,4.63471e-06
F01-Sphere,NM-Restart,0,28,0
F01-Sphere,NM-Restart,0,29,0.00416347
F01-Sphere,NM-Restart,0,30,6.61801e-09
F01-Sphere,NM-Restart,0,31,0.00323728
F01-Sphere,NM-Restart,0,32,5.56802e-06
F01-Sphere,NM-Restart,0,33,0.00494541
F01-Sphere,NM-Restart,0,34,0
F01-Sphere,NM-Restart,0,35,0.00392471
F01-Sphere,NM-Restart,0,36,0.00498232
F01-Sphere,NM-Restart,0,37,0.00442088
F01-Sphere,NM-Restart,0,38,0.00450948
F01-Sphere,NM-Restart,0,39,9.14881e-06
F01-Sphere,NM-Restart,0,40,7.46233e-06
F01-Sphere,NM-Restart,0,41,2.2287e-09
F01-Sphere,NM-Restart,0,42,0.0042561
F01-Sphere,NM-Restart,0,43,8.5781e-06
F01-Sphere,NM-Restart,0,44,6.80249e-06
F01-Sphere,IPOP-CMA-ES,0,15,2.4622e-08
F01-Sphere,IPOP-CMA-ES,0,16,8.91982e-06
F01-Sphere,IPOP-CMA-ES,0,17,6.73263e-05
F01-Sphere,IPOP-CMA-ES,0,18,1.65331e-05
F01-Sphere,IPOP-CMA-ES,0,19,0.00295262
F01-Sphere,IPOP-CMA-ES,0,20,9.20254e-06
F01-Sphere,IPOP-CMA-ES,0,21,0.00147937
F01-Sphere,IPOP-CMA-ES,0,22,0.00219
F01-Sphere,IPOP-CMA-ES,0,23,0.000974261
F01-Sphere,IPOP-CMA-ES,0,24,7.80537e-06
F01-Sphere,IPOP-CMA-ES,0,25,8.36733e-06
F01-Sphere,IPOP-CMA-ES,0,26,8.98303e-06
F01-Sphere,IPOP-CMA-ES,0,27,4.63787e-06
F01-Sphere,IPOP-CMA-ES,0,28,7.55777e-10
F01-Sphere,IPOP-CMA-ES,0,29,0.00416347
F01-Sphere,IPOP-CMA-ES,0,30,8.71326e-09
F01-Sphere,IPOP-CMA-ES,0,31,0.00323727
F01-Sphere,IPOP-CMA-ES,0,32,5.57129e-06
F01-Sphere,IPOP-CMA-ES,0,33,0.00494541
F01-Sphere,IPOP-CMA-ES,0,34,5.40351e-10
F01-Sphere,IPOP-CMA-ES,0,35,0.00392471
F01-Sphere,IPOP-CMA-ES,0,36,0.00498232
F01-Sphere,IPOP-CMA-ES,0,37,0.00442087
F01-Sphere,IPOP-CMA-ES,0,38,0.00450947
F01-Sphere,IPOP-CMA-ES,0,39,9.15106e-06
F01-Sphere,IPOP-CMA-ES,0,40,7.46565e-06
F01-Sphere,IPOP-CMA-ES,0,41,3.57106e-09
F01-Sphere,IPOP-CMA-ES,0,42,0.0042561
F01-Sphere,IPOP-CMA-ES,0,43,8.57963e-06
F01-Sphere,IPOP-CMA-ES,0,44,6.80286e-06
F01-Sphere,DE,0,15,3.29525e-08
F01-Sphere,DE,0,16,8.92783e-06
F01-Sphere,DE,0,17,6.73197e-05
F01-Sphere,DE,0,18,1.65289e-05
F01-Sphere,DE,0,19,0.00295261
F01-Sphere,DE,0,20,9.20887e-06
F01-Sphere,DE,0,21,0.00147936
