function,method,seed,scenario,regret,wiped
F24-LunacekRastrigin,DE,0,27,1.94693,0
F24-LunacekRastrigin,DE,0,28,177.641,1
F24-LunacekRastrigin,DE,0,29,180.281,1
F24-LunacekRastrigin,DE,0,30,191.813,1
F24-LunacekRastrigin,DE,0,31,246.89,1
F24-LunacekRastrigin,DE,0,32,161.597,1
F24-LunacekRastrigin,DE,0,33,173.238,1
F24-LunacekRastrigin,DE,0,34,190.649,1
F24-LunacekRastrigin,DE,0,35,173.95,1
F24-LunacekRastrigin,DE,0,36,222.991,1
F24-LunacekRastrigin,DE,0,37,167.574,1
F24-LunacekRastrigin,DE,0,38,223.359,1
F24-LunacekRastrigin,DE,0,39,0,0
F24-LunacekRastrigin,DE,0,40,0,0
F24-LunacekRastrigin,DE,0,41,188.327,1
F24-LunacekRastrigin,DE,0,42,189.301,1
F24-LunacekRastrigin,DE,0,43,0,0
F24-LunacekRastrigin,DE,0,44,0,0
F24-LunacekRastrigin,PSO,0,15,2.01504,0
F24-LunacekRastrigin,PSO,0,16,0.0681104,0
F24-LunacekRastrigin,PSO,0,17,0.0681104,0
F24-LunacekRastrigin,PSO,0,18,1.86672,0
F24-LunacekRastrigin,PSO,0,19,181.051,1
F24-LunacekRastrigin,PSO,0,20,0.0681104,0
F24-LunacekRastrigin,PSO,0,21,177.479,1
F24-LunacekRastrigin,PSO,0,22,2.01504,0
F24-LunacekRastrigin,PSO,0,23,240.803,1
F24-LunacekRastrigin,PSO,0,24,0.0681104,0
F24-LunacekRastrigin,PSO,0,25,2.01504,0
F24-LunacekRastrigin,PSO,0,26,0.0681104,0
F24-LunacekRastrigin,PSO,0,27,2.01504,0
F24-LunacekRastrigin,PSO,0,28,170.524,1
F24-LunacekRastrigin,PSO,0,29,176.876,1
F24-LunacekRastrigin,PSO,0,30,187.526,1
F24-LunacekRastrigin,PSO,0,31,242.55,1
F24-LunacekRastrigin,PSO,0,32,17.1055,0
F24-LunacekRastrigin,PSO,0,33,169.895,1
F24-LunacekRastrigin,PSO,0,34,183.311,1
F24-LunacekRastrigin,PSO,0,35,171.463,1
F24-LunacekRastrigin,PSO,0,36,219.711,1
F24-LunacekRastrigin,PSO,0,37,164.814,1
F24-LunacekRastrigin,PSO,0,38,219.937,1
F24-LunacekRastrigin,PSO,0,39,0.0681104,0
F24-LunacekRastrigin,PSO,0,40,0.0681104,0
F24-LunacekRastrigin,PSO,0,41,182.108,1
F24-LunacekRastrigin,PSO,0,42,185.889,1
F24-LunacekRastrigin,PSO,0,43,0.0681104,0
F24-LunacekRastrigin,PSO,0,44,0.0681104,0
F24-LunacekRastrigin,Crowding-DE,0,15,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,16,0.0380668,0
F24-LunacekRastrigin,Crowding-DE,0,17,0.0380668,0
F24-LunacekRastrigin,Crowding-DE,0,18,1.57364,0
F24-LunacekRastrigin,Crowding-DE,0,19,163.589,1
F24-LunacekRastrigin,Crowding-DE,0,20,0.0380668,0
F24-LunacekRastrigin,Crowding-DE,0,21,174.879,1
F24-LunacekRastrigin,Crowding-DE,0,22,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,23,0,0
F24-LunacekRastrigin,Crowding-DE,0,24,0.0380668,0
F24-LunacekRastrigin,Crowding-DE,0,25,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,26,0.0380668,0
F24-LunacekRastrigin,Crowding-DE,0,27,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,28,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,29,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,30,157.545,1
F24-LunacekRastrigin,Crowding-DE,0,31,0,0
F24-LunacekRastrigin,Crowding-DE,0,32,163.719,1
F24-LunacekRastrigin,Crowding-DE,0,33,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,34,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,35,0.0470316,0
F24-LunacekRastrigin,Crowding-DE,0,36,0.534444,0
