function,method,seed,scenario,regret
F03-RastriginSep,spread@0.1,1,25,183.593
F03-RastriginSep,spread@0.1,1,26,1.51668
F03-RastriginSep,spread@0.1,1,27,20.795
F03-RastriginSep,spread@0.1,1,28,17.4459
F03-RastriginSep,spread@0.1,1,29,906.847
F03-RastriginSep,spread@0.1,1,30,88.728
F03-RastriginSep,spread@0.1,1,31,211.124
F03-RastriginSep,spread@0.1,1,32,878.222
F03-RastriginSep,spread@0.1,1,33,0.324614
F03-RastriginSep,spread@0.1,1,34,2.5226e-07
F03-RastriginSep,spread@0.1,1,35,14.497
F03-RastriginSep,spread@0.1,1,36,10.6244
F03-RastriginSep,spread@0.1,1,37,185.618
F03-RastriginSep,spread@0.1,1,38,20.565
F03-RastriginSep,spread@0.1,1,39,322.92
F03-RastriginSep,spread@0.1,1,40,156.936
F03-RastriginSep,spread@0.1,1,41,11.2653
F03-RastriginSep,spread@0.1,1,42,381.552
F03-RastriginSep,spread@0.1,1,43,485.328
F03-RastriginSep,spread@0.1,1,44,940.728
F03-RastriginSep,MC-ESO,2,15,63.5636
F03-RastriginSep,MC-ESO,2,16,20.5091
F03-RastriginSep,MC-ESO,2,17,1673.54
F03-RastriginSep,MC-ESO,2,18,1546.17
F03-RastriginSep,MC-ESO,2,19,41.2689
F03-RastriginSep,MC-ESO,2,20,722.526
F03-RastriginSep,MC-ESO,2,21,29.2155
F03-RastriginSep,MC-ESO,2,22,55.2494
F03-RastriginSep,MC-ESO,2,23,22.6547
F03-RastriginSep,MC-ESO,2,24,28.4137
F03-RastriginSep,MC-ESO,2,25,273.621
F03-RastriginSep,MC-ESO,2,26,30.044
F03-RastriginSep,MC-ESO,2,27,39.3105
F03-RastriginSep,MC-ESO,2,28,28.0515
F03-RastriginSep,MC-ESO,2,29,1426.12
F03-RastriginSep,MC-ESO,2,30,109.425
F03-RastriginSep,MC-ESO,2,31,394.932
F03-RastriginSep,MC-ESO,2,32,1325.06
F03-RastriginSep,MC-ESO,2,33,28.0388
F03-RastriginSep,MC-ESO,2,34,3.7075
F03-RastriginSep,MC-ESO,2,35,30.4173
F03-RastriginSep,MC-ESO,2,36,13.2043
F03-RastriginSep,MC-ESO,2,37,339.149
F03-RastriginSep,MC-ESO,2,38,20.6112
F03-RastriginSep,MC-ESO,2,39,573.294
F03-RastriginSep,MC-ESO,2,40,271.244
F03-RastriginSep,MC-ESO,2,41,42.9101
F03-RastriginSep,MC-ESO,2,42,666.285
F03-RastriginSep,MC-ESO,2,43,804.612
F03-RastriginSep,MC-ESO,2,44,1516.63
F03-RastriginSep,MC-ESO+s,2,15,51.2375
F03-RastriginSep,MC-ESO+s,2,16,20.5027
F03-RastriginSep,MC-ESO+s,2,17,1673.12
F03-RastriginSep,MC-ESO+s,2,18,1545.19
F03-RastriginSep,MC-ESO+s,2,19,36.5108
F03-RastriginSep,MC-ESO+s,2,20,722.261
F03-RastriginSep,MC-ESO+s,2,21,4.25236
F03-RastriginSep,MC-ESO+s,2,22,55.0748
F03-RastriginSep,MC-ESO+s,2,23,11.7173
F03-RastriginSep,MC-ESO+s,2,24,28.2307
F03-RastriginSep,MC-ESO+s,2,25,273.517
F03-RastriginSep,MC-ESO+s,2,26,17.2009
F03-RastriginSep,MC-ESO+s,2,27,39.1397
F03-RastriginSep,MC-ESO+s,2,28,27.9798
F03-RastriginSep,MC-ESO+s,2,29,1425.57
F03-RastriginSep,MC-ESO+s,2,30,109.236
F03-RastriginSep,MC-ESO+s,2,31,394.717
F03-RastriginSep,MC-ESO+s,2,32,1324.35
F03-RastriginSep,MC-ESO+s,2,33,26.912
F03-RastriginSep,MC-ESO+s,2,34,3.69403
F03-RastriginSep,MC-ESO+s,2,35,30.3586
F03-RastriginSep,MC-ESO+s,2,36,13.1636
F03-RastriginSep,MC-ESO+s,2,37,338.692
F03-RastriginSep,MC-ESO+s,2,38,20.592
F03-RastriginSep,MC-ESO+s,2,39,572.714
F03-RastriginSep,MC-ESO+s,2,40,271.001
F03-RastriginSep,MC-ESO+s,2,41,42.8025
F03-RastriginSep,MC-ESO+s,2,42,665.765
F03-RastriginSep,MC-ESO+s,2,43,804.025
F03-RastriginSep,MC-ESO+s,2,44,1516.26
