function,method,seed,scenario,regret
F15-RastriginRot,MC-ESO-crowd,0,41,2.98163
F15-RastriginRot,MC-ESO-crowd,0,42,9.46241
F15-RastriginRot,MC-ESO-crowd,0,43,20.626
F15-RastriginRot,MC-ESO-crowd,0,44,38.3229
F15-RastriginRot,quality,0,15,19.7275
F15-RastriginRot,quality,0,16,36.7283
F15-RastriginRot,quality,0,17,167.18
F15-RastriginRot,quality,0,18,13.1807
F15-RastriginRot,quality,0,19,3.50198
F15-RastriginRot,quality,0,20,16.8388
F15-RastriginRot,quality,0,21,12.8614
F15-RastriginRot,quality,0,22,255.839
F15-RastriginRot,quality,0,23,114.073
F15-RastriginRot,quality,0,24,78.9762
F15-RastriginRot,quality,0,25,10.5798
F15-RastriginRot,quality,0,26,48.5807
F15-RastriginRot,quality,0,27,13.1541
F15-RastriginRot,quality,0,28,18.0894
F15-RastriginRot,quality,0,29,216.406
F15-RastriginRot,quality,0,30,17.6222
F15-RastriginRot,quality,0,31,18.8009
F15-RastriginRot,quality,0,32,294.938
F15-RastriginRot,quality,0,33,196.937
F15-RastriginRot,quality,0,34,11.3402
F15-RastriginRot,quality,0,35,136.427
F15-RastriginRot,quality,0,36,0.000106648
F15-RastriginRot,quality,0,37,34.9077
F15-RastriginRot,quality,0,38,10.9646
F15-RastriginRot,quality,0,39,435.807
F15-RastriginRot,quality,0,40,131.056
F15-RastriginRot,quality,0,41,23.6987
F15-RastriginRot,quality,0,42,9.40994
F15-RastriginRot,quality,0,43,18.8167
F15-RastriginRot,quality,0,44,33.9745
F15-RastriginRot,complement,0,15,37.1414
F15-RastriginRot,complement,0,16,13.5743
F15-RastriginRot,complement,0,17,0
F15-RastriginRot,complement,0,18,6.137
F15-RastriginRot,complement,0,19,0
F15-RastriginRot,complement,0,20,26.137
F15-RastriginRot,complement,0,21,27.962
F15-RastriginRot,complement,0,22,86.4524
F15-RastriginRot,complement,0,23,1.00318
F15-RastriginRot,complement,0,24,20.6095
F15-RastriginRot,complement,0,25,25.9247
F15-RastriginRot,complement,0,26,5.72075
F15-RastriginRot,complement,0,27,15.4016
F15-RastriginRot,complement,0,28,3.54966
F15-RastriginRot,complement,0,29,1.04908
F15-RastriginRot,complement,0,30,27.4024
F15-RastriginRot,complement,0,31,29.237
F15-RastriginRot,complement,0,32,0
F15-RastriginRot,complement,0,33,0
F15-RastriginRot,complement,0,34,10.0919
F15-RastriginRot,complement,0,35,15.553
F15-RastriginRot,complement,0,36,23.7418
F15-RastriginRot,complement,0,37,12.071
F15-RastriginRot,complement,0,38,14.52
F15-RastriginRot,complement,0,39,96.4472
F15-RastriginRot,complement,0,40,5.90333
F15-RastriginRot,complement,0,41,10.5289
F15-RastriginRot,complement,0,42,0
F15-RastriginRot,complement,0,43,11.1587
F15-RastriginRot,complement,0,44,24.0374
F15-RastriginRot,spread@0.1,0,15,19.7275
F15-RastriginRot,spread@0.1,0,16,24.6998
F15-RastriginRot,spread@0.1,0,17,169.431
F15-RastriginRot,spread@0.1,0,18,13.1807
F15-RastriginRot,spread@0.1,0,19,6.69015
F15-RastriginRot,spread@0.1,0,20,16.8388
F15-RastriginRot,spread@0.1,0,21,12.8614
F15-RastriginRot,spread@0.1,0,22,255.839
F15-RastriginRot,spread@0.1,0,23,114.073
F15-RastriginRot,spread@0.1,0,24,78.9762
F15-RastriginRot,spread@0.1,0,25,10.5798
F15-RastriginRot,spread@0.1,0,26,48.5807
F15-RastriginRot,spread@0.1,0,27,13.1541
F15-RastriginRot,spread@0.1,0,28,18.0894
F15-RastriginRot,spread@0.1,0,29,216.406
