function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct
N07-Vincent2D,36,0,32,17275,4.7435457339872755e-08,1,1,0.0010686555242702853,510,0
N07-Vincent2D,36,0,33,17875,2.2659712950456878e-07,1,1,0.00013718671418979804,580,0
N07-Vincent2D,36,0,34,18290,1.9687387764477648e-07,1,1,0.003476920923160751,395,0
N07-Vincent2D,36,0,35,18660,2.390065005908326e-07,1,1,0.00551673808735499,350,0
N07-Vincent2D,36,0,36,19185,2.428581451496825e-07,1,1,0.0011249005518634582,505,0
N07-Vincent2D,36,0,37,19675,1.3175617308291976e-07,1,1,0.0016108269716593277,470,0
N07-Vincent2D,36,1,0,1870,0.0,1,1,1e-06,900,1
N07-Vincent2D,36,1,1,2395,7.304458415902104e-08,1,1,0.0011249005518634582,505,0
N07-Vincent2D,36,1,2,2840,1.0859657928463662e-07,1,1,0.0025558563749598557,425,0
N07-Vincent2D,36,1,3,3335,1.0629839541920205e-07,1,1,0.0015302856230763613,475,1
N07-Vincent2D,36,1,4,3855,9.473763817879899e-08,1,1,0.0011841058440667982,500,0
N07-Vincent2D,36,1,5,4485,1.8831808090702395e-07,1,1,5.1739902806867635e-05,610,0
N07-Vincent2D,36,1,6,5015,1.2657395931370274e-07,1,1,0.0010686555242702853,510,0
N07-Vincent2D,36,1,7,5565,8.160675024626585e-09,1,1,0.0006968235136974662,530,1
N07-Vincent2D,36,1,8,6065,3.11869516878005e-08,1,1,0.0014537713419225432,480,1
N07-Vincent2D,36,1,9,6500,1.291322064833622e-07,1,1,0.0028319738226702004,415,0
N07-Vincent2D,36,1,10,6965,1.4211304355526977e-08,1,1,0.0020817609915071453,445,0
N07-Vincent2D,36,1,11,7445,2.933782417002817e-08,1,1,0.0017848498300934385,460,0
N07-Vincent2D,36,1,12,7935,2.38809820807262e-07,1,1,0.0016108269716593277,470,0
N07-Vincent2D,36,1,13,8675,1.1457932026615048e-05,1,1,1.4489118831577078e-06,720,0
N07-Vincent2D,36,1,14,9240,1.572751184841792e-07,1,1,0.00042793674034945645,545,0
N07-Vincent2D,36,1,15,9690,1.7685618303175943e-07,1,1,0.002428063556211863,430,0
N07-Vincent2D,36,1,16,10140,1.8117049793708873e-07,1,1,0.002428063556211863,430,0
N07-Vincent2D,36,1,17,10715,3.918217839071758e-08,1,1,0.00030918429490248226,555,0
N07-Vincent2D,36,1,18,11235,5.887688037109484e-08,1,1,0.0011841058440667982,500,1
N07-Vincent2D,36,1,19,11765,2.0571922421108724e-07,1,1,0.0010686555242702853,510,0
N07-Vincent2D,36,1,20,12450,2.2026127743934865e-07,1,1,8.658323163886606e-06,665,0
N07-Vincent2D,36,1,21,13020,2.2374655284096434e-07,1,1,0.0003637462292970379,550,0
