problem,K,method,arm,n_reported,mpr,mean_f1,score
M09-D10-PIN01,10,MC-ESO,legal,6.0,0.2400,0.3000,0.2700
M10-D10-PIN01,10,MC-ESO,legal,5.0,0.2200,0.2933,0.2567
M11-D10-PIN01,10,MC-ESO,legal,2.0,0.1200,0.2000,0.1600
M12-D10-PIN01,10,MC-ESO,legal,1.0,0.1000,0.1818,0.1409
M13-D10-PIN01,10,MC-ESO,legal,1.0,0.1000,0.1818,0.1409
M14-D10-PIN01,10,MC-ESO,legal,2.0,0.1400,0.2333,0.1867
M15-D10-PIN01,10,MC-ESO,legal,2.0,0.1200,0.2000,0.1600
M16-D10-PIN01,10,MC-ESO,legal,1.0,0.0800,0.1455,0.1127
M01-D10-PIN01,20,MC-ESO,oracle_e112,13.0,0.2100,0.2545,0.2323
M02-D10-PIN01,20,MC-ESO,oracle_e112,10.0,0.1800,0.2400,0.2100
M03-D10-PIN01,20,MC-ESO,oracle_e112,1.0,0.0500,0.0952,0.0726
M04-D10-PIN01,20,MC-ESO,oracle_e112,2.0,0.0700,0.1273,0.0986
M05-D10-PIN01,20,MC-ESO,oracle_e112,1.0,0.0500,0.0952,0.0726
M06-D10-PIN01,20,MC-ESO,oracle_e112,0.0,0.0000,0.0000,0.0000
M07-D10-PIN01,20,MC-ESO,oracle_e112,1.0,0.0300,0.0571,0.0436
M08-D10-PIN01,20,MC-ESO,oracle_e112,1.0,0.0400,0.0762,0.0581
M09-D10-PIN01,10,MC-ESO,oracle_e112,6.0,0.2400,0.3000,0.2700
M10-D10-PIN01,10,MC-ESO,oracle_e112,5.0,0.2200,0.2933,0.2567
M11-D10-PIN01,10,MC-ESO,oracle_e112,2.0,0.1200,0.2000,0.1600
M12-D10-PIN01,10,MC-ESO,oracle_e112,1.0,0.1000,0.1818,0.1409
M13-D10-PIN01,10,MC-ESO,oracle_e112,1.0,0.1000,0.1818,0.1409
M14-D10-PIN01,10,MC-ESO,oracle_e112,2.0,0.1400,0.2333,0.1867
M15-D10-PIN01,10,MC-ESO,oracle_e112,2.0,0.1200,0.2000,0.1600
M16-D10-PIN01,10,MC-ESO,oracle_e112,1.0,0.0800,0.1455,0.1127
M01-D10-PIN01,20,NMMSO,cur,16.0,0.1400,0.1556,0.1478
M02-D10-PIN01,20,NMMSO,cur,15.0,0.2900,0.3314,0.3107
M03-D10-PIN01,20,NMMSO,cur,17.0,0.3600,0.3892,0.3746
M04-D10-PIN01,20,NMMSO,cur,15.0,0.2000,0.2286,0.2143
M05-D10-PIN01,20,NMMSO,cur,79.0,0.0400,0.0162,0.0281
M06-D10-PIN01,20,NMMSO,cur,100.0,0.0600,0.0200,0.0400
M07-D10-PIN01,20,NMMSO,cur,18.0,0.0700,0.0737,0.0718
M08-D10-PIN01,20,NMMSO,cur,83.0,0.0000,0.0000,0.0000
M09-D10-PIN01,10,NMMSO,cur,11.0,0.2200,0.2095,0.2148
M10-D10-PIN01,10,NMMSO,cur,11.0,0.4200,0.4000,0.4100
M11-D10-PIN01,10,NMMSO,cur,36.0,0.1400,0.0609,0.1004
M12-D10-PIN01,10,NMMSO,cur,10.0,0.0600,0.0600,0.0600
M13-D10-PIN01,10,NMMSO,cur,100.0,0.0000,0.0000,0.0000
M14-D10-PIN01,10,NMMSO,cur,100.0,0.1000,0.0182,0.0591
M15-D10-PIN01,10,NMMSO,cur,73.0,0.0000,0.0000,0.0000
M16-D10-PIN01,10,NMMSO,cur,100.0,0.0000,0.0000,0.0000
M01-D10-PIN01,20,NMMSO,legal,6.0,0.1400,0.2154,0.1777
M02-D10-PIN01,20,NMMSO,legal,14.0,0.2900,0.3412,0.3156
M03-D10-PIN01,20,NMMSO,legal,12.0,0.3600,0.4500,0.4050
M04-D10-PIN01,20,NMMSO,legal,7.0,0.2000,0.2963,0.2481
M05-D10-PIN01,20,NMMSO,legal,1.0,0.0400,0.0762,0.0581
M06-D10-PIN01,20,NMMSO,legal,2.0,0.0600,0.1091,0.0845
M07-D10-PIN01,20,NMMSO,legal,4.0,0.0700,0.1167,0.0933
M08-D10-PIN01,20,NMMSO,legal,1.0,0.0000,0.0000,0.0000
M09-D10-PIN01,10,NMMSO,legal,3.0,0.2200,0.3385,0.2792
M10-D10-PIN01,10,NMMSO,legal,9.0,0.4200,0.4421,0.4311
M11-D10-PIN01,10,NMMSO,legal,5.0,0.1400,0.1867,0.1633
M12-D10-PIN01,10,NMMSO,legal,2.0,0.0600,0.1000,0.0800
M13-D10-PIN01,10,NMMSO,legal,1.0,0.0000,0.0000,0.0000
M14-D10-PIN01,10,NMMSO,legal,1.0,0.1000,0.1818,0.1409
M15-D10-PIN01,10,NMMSO,legal,1.0,0.0000,0.0000,0.0000
M16-D10-PIN01,10,NMMSO,legal,1.0,0.0000,0.0000,0.0000
M01-D10-PIN01,20,NMMSO,oracle_e112,6.0,0.1400,0.2154,0.1777
M02-D10-PIN01,20,NMMSO,oracle_e112,14.0,0.2900,0.3412,0.3156
M03-D10-PIN01,20,NMMSO,oracle_e112,12.0,0.3600,0.4500,0.4050
M04-D10-PIN01,20,NMMSO,oracle_e112,7.0,0.2000,0.2963,0.2481
M05-D10-PIN01,20,NMMSO,oracle_e112,1.0,0.0400,0.0762,0.0581
M06-D10-PIN01,20,NMMSO,oracle_e112,2.0,0.0600,0.1091,0.0845
M07-D10-PIN01,20,NMMSO,oracle_e112,4.0,0.0700,0.1167,0.0933
M08-D10-PIN01,20,NMMSO,oracle_e112,0.0,0.0000,0.0000,0.0000
M09-D10-PIN01,10,NMMSO,oracle_e112,3.0,0.2200,0.3385,0.2792
M10-D10-PIN01,10,NMMSO,oracle_e112,9.0,0.4200,0.4421,0.4311
M11-D10-PIN01,10,NMMSO,oracle_e112,5.0,0.1400,0.1867,0.1633
M12-D10-PIN01,10,NMMSO,oracle_e112,2.0,0.0600,0.1000,0.0800
M13-D10-PIN01,10,NMMSO,oracle_e112,0.0,0.0000,0.0000,0.0000
M14-D10-PIN01,10,NMMSO,oracle_e112,1.0,0.1000,0.1818,0.1409
M15-D10-PIN01,10,NMMSO,oracle_e112,0.0,0.0000,0.0000,0.0000
M16-D10-PIN01,10,NMMSO,oracle_e112,0.0,0.0000,0.0000,0.0000
