function,seed,div_ev,bank_ev,base_best_f,var_best_f,base_succ_ev,var_succ_ev,same
F14-DiffPowers,4,-1,1738,0.0,0.0,993,993,True
F14-DiffPowers,5,-1,2033,0.0,0.0,1129,1129,True
F14-DiffPowers,6,-1,2349,0.0,0.0,999,999,True
F14-DiffPowers,7,-1,1883,0.0,0.0,839,839,True
F14-DiffPowers,8,-1,2044,0.0,0.0,1104,1104,True
F14-DiffPowers,9,-1,2129,0.0,0.0,1186,1186,True
F14-DiffPowers,10,-1,2364,0.0,0.0,1417,1417,True
F14-DiffPowers,11,-1,1739,0.0,0.0,947,947,True
F14-DiffPowers,12,-1,2384,0.0,0.0,1327,1327,True
F14-DiffPowers,13,-1,1983,0.0,0.0,1053,1053,True
F14-DiffPowers,14,-1,1863,0.0,0.0,1143,1143,True
F14-DiffPowers,15,-1,4814,1.6271428648906294e-12,1.6271428648906294e-12,1619,1619,True
F14-DiffPowers,16,-1,2074,0.0,0.0,943,943,True
F14-DiffPowers,17,-1,1829,0.0,0.0,928,928,True
F14-DiffPowers,18,-1,2089,0.0,0.0,968,968,True
F14-DiffPowers,19,-1,2309,0.0,0.0,1189,1189,True
F17-SchafferF7,0,-1,2348,3.552713678800501e-15,3.552713678800501e-15,1674,1674,True
F17-SchafferF7,1,-1,990,2.8777666198465113e-05,2.8777666198465113e-05,-1,-1,True
F17-SchafferF7,2,-1,9282,3.552713678800501e-15,3.552713678800501e-15,8527,8527,True
F17-SchafferF7,3,-1,2494,3.552713678800501e-15,3.552713678800501e-15,1848,1848,True
F17-SchafferF7,4,-1,1143,2.8777732861584582e-05,2.8777732861584582e-05,-1,-1,True
F17-SchafferF7,5,-1,2963,4.92034146759579e-09,4.92034146759579e-09,-1,-1,True
F17-SchafferF7,6,-1,2359,3.552713678800501e-15,3.552713678800501e-15,1629,1629,True
F17-SchafferF7,7,-1,2378,3.552713678800501e-15,3.552713678800501e-15,1699,1699,True
F17-SchafferF7,8,-1,2484,1.2434497875801753e-13,1.2434497875801753e-13,1764,1764,True
F17-SchafferF7,9,-1,5900,1.6981971384666394e-12,1.6981971384666394e-12,4790,4790,True
F17-SchafferF7,10,-1,2234,7.765876830490015e-11,7.765876830490015e-11,1644,1644,True
F17-SchafferF7,11,-1,6847,1.1219469797651982e-11,1.1219469797651982e-11,5761,5761,True
F17-SchafferF7,12,-1,2569,4.391154106997419e-12,4.391154106997419e-12,1633,1633,True
F17-SchafferF7,13,-1,2928,2.902424967032857e-10,2.902424967032857e-10,-1,-1,True
F17-SchafferF7,14,-1,3013,9.312373094871873e-11,9.312373094871873e-11,2119,2119,True
F17-SchafferF7,15,-1,2203,3.552713678800501e-15,3.552713678800501e-15,1503,1503,True
F17-SchafferF7,16,-1,2584,3.410605131648481e-13,3.410605131648481e-13,1654,1654,True
F17-SchafferF7,17,-1,2878,1.7434892640721955e-08,1.7434892640721955e-08,-1,-1,True
F17-SchafferF7,18,-1,2318,3.552713678800501e-15,3.552713678800501e-15,1564,1564,True
F17-SchafferF7,19,-1,6484,1.0658141036401503e-13,1.0658141036401503e-13,5003,5003,True
F20-Schwefel,0,-1,2399,0.0,0.0,2230,2230,True
F20-Schwefel,1,-1,1061,0.0,0.0,912,912,True
F20-Schwefel,2,-1,1183,0.0,0.0,914,914,True
F20-Schwefel,3,-1,1527,0.0,0.0,1237,1237,True
F20-Schwefel,4,-1,2861,0.0,0.0,2634,2634,True
F20-Schwefel,5,-1,3157,0.0,0.0,3016,3016,True
F20-Schwefel,6,-1,2521,0.0,0.0,2030,2030,True
F20-Schwefel,7,-1,4380,0.0,0.0,4175,4175,True
F20-Schwefel,8,-1,1113,0.0,0.0,792,792,True
F20-Schwefel,9,-1,4467,0.0,0.0,4277,4277,True
F20-Schwefel,10,-1,2591,0.0,0.0,2294,2294,True
F20-Schwefel,11,-1,2942,0.0,0.0,2624,2624,True
F20-Schwefel,12,-1,3939,0.0,0.0,3689,3689,True
F20-Schwefel,13,-1,3573,0.0,0.0,3159,3159,True
F20-Schwefel,14,-1,6556,0.0,0.0,6432,6432,True
F20-Schwefel,15,-1,1473,0.0,0.0,1219,1219,True
F20-Schwefel,16,-1,1154,0.0,0.0,948,948,True
F20-Schwefel,17,-1,1244,0.0,0.0,933,933,True
F20-Schwefel,18,-1,3361,0.0,0.0,3056,3056,True
F20-Schwefel,19,-1,3377,0.0,0.0,3184,3184,True
F23-Katsuura,0,-1,2483,0.0,0.0,2018,2018,True
F23-Katsuura,1,-1,2294,3.3378377484183375e-07,3.3378377484183375e-07,-1,-1,True
F23-Katsuura,2,-1,2248,0.0,0.0,1944,1944,True
F23-Katsuura,3,-1,2532,1.6786064982454718e-07,1.6786064982454718e-07,-1,-1,True
F23-Katsuura,4,-1,3294,0.0,0.0,2793,2793,True
F23-Katsuura,5,-1,1269,3.763925878530472e-06,3.763925878530472e-06,-1,-1,True
F23-Katsuura,6,-1,2203,6.181721801112872e-13,6.181721801112872e-13,1868,1868,True
F23-Katsuura,7,-1,2379,0.0,0.0,2068,2068,True
F23-Katsuura,8,-1,2588,0.0,0.0,2334,2334,True
