function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N08-Shubert3D,81,0.001,11,400000,162,51,51,-1,-1,69,18,162,577,577,577,82,-5.9117155615240335e-12,51,93,226
N08-Shubert3D,81,0.001,12,400000,162,57,57,-1,-1,67,10,162,578,576,578,93,2.2737367544323206e-12,57,74,226
N08-Shubert3D,81,0.001,13,400000,162,47,47,-1,-1,66,19,162,580,579,580,79,-6.366462912410498e-12,47,73,226
N08-Shubert3D,81,0.001,14,400000,162,52,52,-1,-1,71,19,162,578,576,578,89,-8.185452315956354e-12,52,94,226
N08-Shubert3D,81,0.0001,0,400000,162,6,6,-1,-1,71,65,162,581,579,581,6,-7.73070496506989e-12,6,77,226
N08-Shubert3D,81,0.0001,1,400000,162,2,2,-1,-1,68,66,162,577,577,577,2,-5.9117155615240335e-12,2,72,226
N08-Shubert3D,81,0.0001,2,400000,162,4,4,-1,-1,63,59,162,575,575,575,4,-8.185452315956354e-12,4,68,226
N08-Shubert3D,81,0.0001,3,400000,162,5,5,-1,-1,69,64,162,571,570,571,5,-8.185452315956354e-12,5,72,226
N08-Shubert3D,81,0.0001,4,400000,162,7,7,-1,-1,70,63,162,580,580,580,7,-8.185452315956354e-12,7,95,226
N08-Shubert3D,81,0.0001,5,400000,162,4,4,-1,-1,64,60,162,580,580,580,4,-8.640199666842818e-12,4,86,226
N08-Shubert3D,81,0.0001,6,400000,162,3,3,-1,-1,68,65,162,578,578,578,3,-5.9117155615240335e-12,3,75,226
N08-Shubert3D,81,0.0001,7,400000,162,4,4,-1,-1,70,66,162,579,577,579,4,-9.094947017729282e-12,4,75,226
N08-Shubert3D,81,0.0001,8,400000,162,6,6,-1,-1,72,66,162,578,576,578,6,-5.9117155615240335e-12,6,78,226
N08-Shubert3D,81,0.0001,9,400000,162,4,4,-1,-1,67,63,162,578,578,578,4,2.091837814077735e-11,4,90,226
N08-Shubert3D,81,0.0001,10,400000,162,6,6,-1,-1,67,61,162,577,577,577,6,-3.183231456205249e-12,6,86,226
N08-Shubert3D,81,0.0001,11,400000,162,3,3,-1,-1,69,66,162,577,577,577,3,-5.9117155615240335e-12,3,93,226
N08-Shubert3D,81,0.0001,12,400000,162,3,3,-1,-1,67,64,162,578,576,578,3,2.2737367544323206e-12,3,74,226
N08-Shubert3D,81,0.0001,13,400000,162,3,3,-1,-1,66,63,162,580,579,580,3,-6.366462912410498e-12,3,73,226
N08-Shubert3D,81,0.0001,14,400000,162,4,4,-1,-1,71,67,162,578,576,578,4,-8.185452315956354e-12,4,94,226
N08-Shubert3D,81,1e-05,0,400000,162,1,1,-1,-1,71,70,162,581,579,581,1,-7.73070496506989e-12,1,77,226
