function,K,eps,seed,evals,cap,visited,reported,resel,n_resel_pts,distinct,blocked,n_reported_pts,spillover,basin_switch,hunts,landed,best_f,reported_uncapped,distinct_uncapped,n_reported_pts_uncapped
N08-Shubert3D,81,0.0001,2,400000,162,4,4,-1,-1,136,132,162,575,575,575,4,-8.185452315956354e-12,4,200,226
N08-Shubert3D,81,0.0001,3,400000,162,5,5,-1,-1,136,131,162,571,570,571,5,-8.185452315956354e-12,5,200,226
N08-Shubert3D,81,0.0001,4,400000,162,7,7,-1,-1,156,149,162,580,580,580,7,-8.185452315956354e-12,7,219,226
N08-Shubert3D,81,0.0001,5,400000,162,4,4,-1,-1,156,152,162,580,580,580,4,-8.640199666842818e-12,4,216,226
N08-Shubert3D,81,0.0001,6,400000,162,3,3,-1,-1,141,138,162,578,578,578,3,-5.9117155615240335e-12,3,205,226
N08-Shubert3D,81,0.0001,7,400000,162,4,4,-1,-1,156,152,162,579,577,579,4,-9.094947017729282e-12,4,201,226
N08-Shubert3D,81,0.0001,8,400000,162,6,6,-1,-1,147,141,162,578,576,578,6,-5.9117155615240335e-12,6,201,226
N08-Shubert3D,81,0.0001,9,400000,162,4,4,-1,-1,156,152,162,578,578,578,4,2.091837814077735e-11,4,220,226
N08-Shubert3D,81,0.0001,10,400000,162,6,6,-1,-1,154,148,162,577,577,577,6,-3.183231456205249e-12,6,213,226
N08-Shubert3D,81,0.0001,11,400000,162,3,3,-1,-1,156,153,162,577,577,577,3,-5.9117155615240335e-12,3,220,226
N08-Shubert3D,81,0.0001,12,400000,162,3,3,-1,-1,152,149,162,578,576,578,3,2.2737367544323206e-12,3,201,226
N08-Shubert3D,81,0.0001,13,400000,162,3,3,-1,-1,134,131,162,580,579,580,3,-6.366462912410498e-12,3,198,226
N08-Shubert3D,81,0.0001,14,400000,162,4,4,-1,-1,156,152,162,578,576,578,4,-8.185452315956354e-12,4,219,226
N08-Shubert3D,81,1e-05,0,400000,162,1,1,-1,-1,138,137,162,581,579,581,1,-7.73070496506989e-12,1,202,226
N08-Shubert3D,81,1e-05,1,400000,162,1,1,-1,-1,137,136,162,577,577,577,1,-5.9117155615240335e-12,1,201,226
N08-Shubert3D,81,1e-05,2,400000,162,1,1,-1,-1,136,135,162,575,575,575,1,-8.185452315956354e-12,1,200,226
N08-Shubert3D,81,1e-05,3,400000,162,1,1,-1,-1,136,135,162,571,570,571,1,-8.185452315956354e-12,1,200,226
N08-Shubert3D,81,1e-05,4,400000,162,1,1,-1,-1,156,155,162,580,580,580,1,-8.185452315956354e-12,1,219,226
N08-Shubert3D,81,1e-05,5,400000,162,1,1,-1,-1,156,155,162,580,580,580,1,-8.640199666842818e-12,1,216,226
N08-Shubert3D,81,1e-05,6,400000,162,1,1,-1,-1,141,140,162,578,578,578,1,-5.9117155615240335e-12,1,205,226
N08-Shubert3D,81,1e-05,7,400000,162,1,1,-1,-1,156,155,162,579,577,579,1,-9.094947017729282e-12,1,201,226
N08-Shubert3D,81,1e-05,8,400000,162,1,1,-1,-1,147,146,162,578,576,578,1,-5.9117155615240335e-12,1,201,226
N08-Shubert3D,81,1e-05,9,400000,162,2,2,-1,-1,156,154,162,578,578,578,2,2.091837814077735e-11,2,220,226
N08-Shubert3D,81,1e-05,10,400000,162,1,1,-1,-1,154,153,162,577,577,577,1,-3.183231456205249e-12,1,213,226
N08-Shubert3D,81,1e-05,11,400000,162,1,1,-1,-1,156,155,162,577,577,577,1,-5.9117155615240335e-12,1,220,226
N08-Shubert3D,81,1e-05,12,400000,162,1,1,-1,-1,152,151,162,578,576,578,1,2.2737367544323206e-12,1,201,226
N08-Shubert3D,81,1e-05,13,400000,162,1,1,-1,-1,134,133,162,580,579,580,1,-6.366462912410498e-12,1,198,226
N08-Shubert3D,81,1e-05,14,400000,162,1,1,-1,-1,156,155,162,578,576,578,1,-8.185452315956354e-12,1,219,226
