function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
M01-D20-PIN01,Restart-Lander-100000,current,0,1000000,20,84,0.5000,0.5000,0.5000,0.5000,0.5000
M02-D20-PIN01,Restart-Lander-100000,current,0,1000000,20,18,0.3000,0.3000,0.3000,0.3000,0.3000
M03-D20-PIN01,Restart-Lander-100000,current,0,1000000,20,20,0.3000,0.3000,0.3000,0.3000,0.3000
M04-D20-PIN01,Restart-Lander-100000,current,0,1000000,20,100,0.3000,0.3000,0.3000,0.3000,0.3000
M05-D20-PIN01,Restart-Lander-100000,current,0,1000000,20,100,0.6000,0.6000,0.6000,0.6000,0.6000
M06-D20-PIN01,Restart-Lander-100000,current,0,1000000,20,100,0.2500,0.2500,0.2500,0.2500,0.2500
M07-D20-PIN01,Restart-Lander-100000,current,0,1000000,20,100,0.3000,0.3000,0.3000,0.2500,0.2000
M08-D20-PIN01,Restart-Lander-100000,current,0,1000000,20,100,0.4500,0.4500,0.4500,0.4500,0.4500
M09-D20-PIN01,Restart-Lander-100000,current,0,1000000,10,20,0.5000,0.5000,0.5000,0.5000,0.5000
M10-D20-PIN01,Restart-Lander-100000,current,0,1000000,10,17,0.7000,0.7000,0.7000,0.7000,0.4000
M11-D20-PIN01,Restart-Lander-100000,current,0,1000000,10,17,0.4000,0.4000,0.4000,0.4000,0.3000
M12-D20-PIN01,Restart-Lander-100000,current,0,1000000,10,47,0.8000,0.8000,0.8000,0.8000,0.8000
M13-D20-PIN01,Restart-Lander-100000,current,0,1000000,10,100,0.5000,0.5000,0.5000,0.5000,0.5000
M14-D20-PIN01,Restart-Lander-100000,current,0,1000000,10,100,0.2000,0.2000,0.2000,0.2000,0.2000
M15-D20-PIN01,Restart-Lander-100000,current,0,1000000,10,100,0.5000,0.4000,0.4000,0.3000,0.2000
M16-D20-PIN01,Restart-Lander-100000,current,0,1000000,10,100,0.4000,0.4000,0.4000,0.4000,0.4000
