func,K,draws,hit_1e-5,reached_1e-5,restarts,pr_1e-1,pr_1e-3,pr_1e-5,mpr,mpr_lo,mpr_hi,mpr_first40,mpr_sup,mpr_sup_chao1,mpr_earlystop,src
M01-D10-PIN01,20,200,0.87,11,78.20503796854594,0.5614782799754976,0.5225111116014332,0.49446281389676655,0.5237213567889443,0.47324052158180535,0.5447960617443877,0.42539477248643454,0.5900000000000001,0.6,nan,e91
M02-D10-PIN01,20,200,1.0,8,56.36216069979258,0.3597050109555522,0.3597050109555522,0.3597050109555522,0.3597050109555522,0.318227357732096,0.3747891715169973,0.3667436396918295,0.4,0.4,nan,e92
M03-D10-PIN01,20,200,0.89,11,44.39590492173002,0.49925820662407216,0.4753562179062132,0.4511679746119567,0.47586629498721367,0.4344025382354756,0.4960288403410448,0.4923346899648604,0.5799999999999998,0.5799999999999998,nan,e92
M04-D10-PIN01,20,200,1.0,11,135.03659491722257,0.4861007180823361,0.4861007180823361,0.4861007180823361,0.4861007180823361,0.42074847548426253,0.5168065541294463,0.44778420877622027,0.55,0.575,0.531311489624688,e92
M05-D10-PIN01,20,200,0.87,14,115.22861356932154,0.6620323086206701,0.6620323086206701,0.6620323086206701,0.6620323086206701,0.5943856317542411,0.6778719365683731,0.5879574252191427,0.7,0.7,0.6908528697178036,e92
M06-D10-PIN01,20,200,0.205,8,152.91455134870634,0.3474141266136054,0.3474141266136054,0.3474141266136054,0.3474141266136054,0.27117318930886825,0.37139435427884904,0.1480121385283557,0.4,0.45,0.3541654963694129,e92
M07-D10-PIN01,20,200,0.715,10,113.21181931393637,0.4610182981382166,0.4537445565101357,0.4374778131085669,0.4514717119200645,0.39674179996441405,0.47434459643051796,0.4436328241457625,0.5,0.51,0.4786357965624135,e92
M08-D10-PIN01,20,200,0.84,14,121.75077616119803,0.5563413531045867,0.5563413531045867,0.5563413531045867,0.5563413531045867,0.4483094900306574,0.5920012572362882,0.39074603549441556,0.7,0.8,0.6075630905668883,e92
M09-D10-PIN01,10,200,0.72,5,63.8704196925278,0.5168678902511307,0.48921189309581237,0.4169516271833601,0.4775532193335418,0.4390625906847494,0.49276164050911947,0.38717941934036837,0.52,0.52,0.49290548044864924,e94
M10-D10-PIN01,10,200,0.87,4,43.80374171561735,0.5506131117386599,0.5506131117386599,0.33532185785289775,0.49392819448959707,0.42689322926533735,0.539252473607878,0.42872128926376646,0.68,0.68,0.6565018156563113,e94
M11-D10-PIN01,10,200,0.805,5,47.45994380742653,0.599569455209296,0.4999657812048929,0.42352643032862847,0.5065431018476028,0.4514793054990427,0.5277151477051125,0.49990422339872775,0.58,0.58,0.5496379556464767,e94
M12-D10-PIN01,10,200,0.985,7,137.38528328845413,0.7363649918716685,0.6615035273697639,0.6117289189687969,0.6665208985899514,0.508838594343459,0.7142875988952269,0.2999991689851226,0.8,0.8366666666666667,0.7631351993168447,e94
M13-D10-PIN01,10,200,0.825,7,112.39996403201152,0.6952962693874517,0.6952962693874517,0.6952962693874517,0.6952962693874517,0.6531484245052117,0.6982976040228156,0.687295896883158,0.7,0.7,nan,e91
M14-D10-PIN01,10,200,0.27,4,137.3664111651419,0.3482364396136817,0.3482364396136817,0.3482364396136817,0.3482364396136817,0.27608487630760686,0.3870630172312854,0.19988778001067917,0.4,0.4,0.35440106469101834,e94
M15-D10-PIN01,10,200,0.845,3,117.82032400589101,0.341835989189173,0.341835989189173,0.24459937448888308,0.31217099269196524,0.2585317771229832,0.3387433293578385,0.25691645294777643,0.36000000000000004,0.36000000000000004,0.34446394713342016,e94
M16-D10-PIN01,10,200,0.715,6,118.77471998859764,0.5605508104258086,0.5605508104258086,0.5605508104258086,0.5605508104258086,0.4693826583646083,0.5896329442483655,0.4945686473050694,0.6,0.6,0.5785252893696388,e94
