arm,seed,best_f,n_rep,n_hunts,n_basin_resets,median_hunt_len,wall_s,pr_0.1,pr_0.01,pr_0.001,pr_0.0001,pr_1e-05,prtrue_0.1,prtrue_0.01,prtrue_0.001,prtrue_0.0001,prtrue_1e-05
base,4,4.67166e-12,100,253,0,1499,89.5,1,0.5,0.333333,0.166667,0.166667,0.666667,0.5,0.333333,0.166667,0.166667
base,5,3.49584e-12,100,253,0,1499,91.4,1,0.666667,0.166667,0.166667,0.166667,0.666667,0.666667,0.166667,0.166667,0.166667
base,6,3.11442e-12,100,253,0,1499,85.8,1,0.333333,0.166667,0.166667,0.166667,0.666667,0.333333,0.166667,0.166667,0.166667
base,7,1.55723e-12,100,253,0,1499,86.0,1,0.333333,0.166667,0.166667,0.166667,0.666667,0.333333,0.166667,0.166667,0.166667
