arm,seed,best_f,n_rep,n_hunts,n_basin_resets,median_hunt_len,wall_s,pr_0.1,pr_0.01,pr_0.001,pr_0.0001,pr_1e-05,prtrue_0.1,prtrue_0.01,prtrue_0.001,prtrue_0.0001,prtrue_1e-05
base,8,1.55722e-12,100,251,0,1499,93.6,1,0.5,0.166667,0.166667,0.166667,0.666667,0.5,0.166667,0.166667,0.166667
base,9,3.11444e-12,100,254,0,1499,92.8,1,0.333333,0.166667,0.166667,0.166667,0.666667,0.333333,0.166667,0.166667,0.166667
base,10,3.11443e-12,100,254,0,1499,89.3,1,0.166667,0.166667,0.166667,0.166667,0.666667,0.166667,0.166667,0.166667,0.166667
base,11,1.55722e-12,100,253,0,1499,87.9,1,0.333333,0.166667,0.166667,0.166667,0.666667,0.333333,0.166667,0.166667,0.166667
