arm,seed,best_f,n_rep,n_hunts,n_basin_resets,median_hunt_len,wall_s,pr_0.1,pr_0.01,pr_0.001,pr_0.0001,pr_1e-05,prtrue_0.1,prtrue_0.01,prtrue_0.001,prtrue_0.0001,prtrue_1e-05
basin,4,3.11444e-12,100,114,12365,2874,91.2,1,0.333333,0.333333,0.333333,0.333333,0.666667,0.333333,0.333333,0.333333,0.333333
basin,5,1.55723e-12,100,105,12622,2859,93.3,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
basin,6,3.11442e-12,100,120,11492,2869,87.8,1,0.5,0.333333,0.333333,0.333333,0.5,0.5,0.333333,0.333333,0.333333
basin,7,1.55723e-12,100,126,11342,2874,89.7,1,0.333333,0.333333,0.333333,0.333333,0.5,0.333333,0.333333,0.333333,0.333333
