function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N05-SixHumpCamel,MC-ESO,current,0,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,1,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,2,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,3,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,4,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,5,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,6,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,7,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,8,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,9,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,10,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,11,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,12,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,13,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO,current,14,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO-crowd,current,0,50000,2,100,0.5000,0.5000,0.5000,0.5000,0.5000
N05-SixHumpCamel,MC-ESO-crowd,current,1,50000,2,86,1.0000,1.0000,1.0000,1.0000,0.5000
N05-SixHumpCamel,MC-ESO-crowd,current,2,50000,2,84,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO-crowd,current,3,50000,2,100,0.5000,0.5000,0.5000,0.5000,0.5000
N05-SixHumpCamel,MC-ESO-crowd,current,4,50000,2,100,0.5000,0.5000,0.5000,0.5000,0.5000
N05-SixHumpCamel,MC-ESO-crowd,current,5,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO-crowd,current,6,50000,2,100,0.5000,0.5000,0.5000,0.5000,0.5000
N05-SixHumpCamel,MC-ESO-crowd,current,7,50000,2,100,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO-crowd,current,8,50000,2,100,0.5000,0.5000,0.5000,0.5000,0.5000
N05-SixHumpCamel,MC-ESO-crowd,current,9,50000,2,100,1.0000,1.0000,1.0000,1.0000,0.5000
N05-SixHumpCamel,MC-ESO-crowd,current,10,50000,2,100,0.5000,0.5000,0.5000,0.5000,0.5000
N05-SixHumpCamel,MC-ESO-crowd,current,11,50000,2,90,1.0000,1.0000,1.0000,0.5000,0.5000
N05-SixHumpCamel,MC-ESO-crowd,current,12,50000,2,100,1.0000,1.0000,1.0000,1.0000,0.5000
N05-SixHumpCamel,MC-ESO-crowd,current,13,50000,2,84,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,MC-ESO-crowd,current,14,50000,2,100,0.5000,0.5000,0.5000,0.5000,0.5000
N05-SixHumpCamel,NCDE,current,0,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,1,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,2,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,3,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,4,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,5,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,6,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,7,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,8,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,9,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,10,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,11,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,12,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,13,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,NCDE,current,14,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,r3pso,current,0,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,r3pso,current,1,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
N05-SixHumpCamel,r3pso,current,2,50000,2,30,1.0000,1.0000,1.0000,1.0000,1.0000
