function,method,rule,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N08-Shubert3D,r3pso,current,14,400000,81,30,0.0741,0.0741,0.0617,0.0617,0.0494
N08-Shubert3D,DE,current,0,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,1,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,2,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,3,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,4,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,5,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,6,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,7,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,8,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,9,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,10,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,11,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,12,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,13,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,DE,current,14,400000,81,30,0.0123,0.0123,0.0123,0.0123,0.0123
N08-Shubert3D,NM-Restart,current,0,400000,81,2,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,1,400000,81,16,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,2,400000,81,3,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,3,400000,81,6,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,4,400000,81,2,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,5,400000,81,1,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,6,400000,81,3,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,7,400000,81,2,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,8,400000,81,2,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,9,400000,81,4,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,current,10,400000,81,4,0.0000,0.0000,0.0000,0.0000,0.0000
