function,category,tags,method,mean_time_s,mean_best_f,median_best_f,sr_1e-1,sr_1e-2,sr_1e-3,sr_1e-4,sr_1e-5,sr_1e-7,sr_1e-10,evals_succ_mean,evals_succ_med,ert,ecdf_auc,mean_optima_found,mean_optima_rate,n_optima,pr_1e-2,pr_1e-4,mmo_sr_1e-2,mmo_sr_1e-4,cec_k,cec_pr_1e-1,cec_pr_1e-2,cec_pr_1e-3,cec_pr_1e-4,cec_pr_1e-5,cec_sr_1e-1,cec_sr_1e-2,cec_sr_1e-3,cec_sr_1e-4,cec_sr_1e-5,cec_pr_mean,cec_sr_mean,n_reported
F06-AttractiveSector,moderate-cond,unimodal|non-separable|asymmetric|moderate-cond,MC-ESO,0.516,2.1671e-09,7.1054e-15,100%,100%,100%,100%,100%,100%,95%,519,448,519,0.2670,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F06-AttractiveSector,moderate-cond,unimodal|non-separable|asymmetric|moderate-cond,phased,0.425,2.1671e-09,7.1054e-15,100%,100%,100%,100%,100%,100%,95%,519,448,519,0.2670,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F07-StepEllipsoidal,moderate-cond,unimodal|non-separable|plateau|moderate-cond,MC-ESO,0.412,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,196,165,196,0.4229,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F07-StepEllipsoidal,moderate-cond,unimodal|non-separable|plateau|moderate-cond,phased,0.443,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,196,165,196,0.4229,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F08-Rosenbrock,moderate-cond,unimodal|non-separable|bent-valley,MC-ESO,0.457,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,475,396,475,0.2899,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F08-Rosenbrock,moderate-cond,unimodal|non-separable|bent-valley,phased,0.481,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,475,396,475,0.2899,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F09-RosenbrockRot,moderate-cond,unimodal|non-separable|bent-valley,MC-ESO,0.480,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,420,390,420,0.2945,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F09-RosenbrockRot,moderate-cond,unimodal|non-separable|bent-valley,phased,0.395,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,420,390,420,0.2945,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F10-EllipsoidalRot,ill-cond,unimodal|non-separable|ill-conditioned,MC-ESO,0.450,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,475,451,475,0.2736,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
F10-EllipsoidalRot,ill-cond,unimodal|non-separable|ill-conditioned,phased,0.419,0.0000e+00,0.0000e+00,100%,100%,100%,100%,100%,100%,100%,475,451,475,0.2736,1.00,1.00,1,1.00,1.00,100%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
