function,K,seed,hunt,eval,f,switch,exhausted,sigma_span,no_improve,distinct
N09-Vincent3D,216,0,0,3390,0.0,1,1,1e-06,1350,1
N09-Vincent3D,216,0,1,3955,8.800531203778661e-08,1,1,0.00042793674034945645,545,0
N09-Vincent3D,216,0,2,4565,5.6720405594568035e-08,1,1,9.911740100212908e-05,590,1
N09-Vincent3D,216,0,3,5115,1.7368745020007736e-07,1,1,0.0006968235136974662,530,0
N09-Vincent3D,216,0,4,5645,1.6255193990843964e-07,1,1,0.0010686555242702853,510,0
N09-Vincent3D,216,0,5,6275,2.4439975410128767e-07,1,1,5.1739902806867635e-05,610,1
N09-Vincent3D,216,0,6,6860,2.3680843741491486e-07,1,1,0.0002233856530670434,565,0
N09-Vincent3D,216,0,7,7480,1.1830418900071749e-07,1,1,7.161232222403826e-05,600,1
N09-Vincent3D,216,0,8,7965,2.1367897995450136e-07,1,1,0.0016956073385887664,465,0
N09-Vincent3D,216,0,9,8565,1.2868400689480808e-07,1,1,0.00013718671418979804,580,0
N09-Vincent3D,216,0,10,9105,2.2450888570446637e-07,1,1,0.0009644616106539325,520,0
N09-Vincent3D,216,0,11,9745,1.1833848245768053e-07,1,1,3.738207977796187e-05,620,0
N09-Vincent3D,216,0,12,10360,2.028292745981375e-07,1,1,8.424979085180971e-05,595,0
N09-Vincent3D,216,0,13,11100,8.78422097072562e-06,1,1,1.4489118831577078e-06,720,0
N09-Vincent3D,216,0,14,11690,7.859009221178326e-08,1,1,0.0001898778051069869,570,0
N09-Vincent3D,216,0,15,12290,2.024229388553067e-07,1,1,0.00013718671418979804,580,1
N09-Vincent3D,216,0,16,12885,1.2213350253365007e-07,1,1,0.00016139613434093888,575,0
N09-Vincent3D,216,0,17,13425,2.412671388229981e-07,1,1,0.0009644616106539325,520,0
N09-Vincent3D,216,0,18,14075,2.0783062859575097e-07,1,1,2.7008552639577448e-05,630,1
N09-Vincent3D,216,0,19,14665,1.0753932644380626e-07,1,1,0.0001898778051069869,570,1
N09-Vincent3D,216,0,20,15405,0.00035802978481014325,1,1,1.4489118831577078e-06,720,0
N09-Vincent3D,216,0,21,16020,1.2674153027081303e-07,1,1,8.424979085180971e-05,595,1
N09-Vincent3D,216,0,22,16630,1.3280923327751992e-07,1,1,9.911740100212908e-05,590,0
N09-Vincent3D,216,0,23,17250,1.4850658491827318e-07,1,1,7.161232222403826e-05,600,1
N09-Vincent3D,216,0,24,17830,2.0834356007082278e-07,1,1,0.0002628066506671099,560,0
N09-Vincent3D,216,0,25,18345,7.738785434696638e-08,1,1,0.0012464272042808403,495,1
N09-Vincent3D,216,0,26,18920,1.8837799264925792e-07,1,1,0.00030918429490248226,555,0
N09-Vincent3D,216,0,27,19465,2.3392140791056448e-07,1,1,0.0008197923690558426,525,0
N09-Vincent3D,216,0,28,20070,1.8672421031595832e-07,1,1,0.00011660870706132833,585,0
N09-Vincent3D,216,0,29,20715,1.4493286648598058e-07,1,1,3.177476781126759e-05,625,1
N09-Vincent3D,216,0,30,21340,1.042753156044185e-07,1,1,6.087047389043251e-05,605,1
N09-Vincent3D,216,0,31,21955,2.3030288376357788e-07,1,1,8.424979085180971e-05,595,0
N09-Vincent3D,216,0,32,22560,2.39859592077174e-07,1,1,0.00011660870706132833,585,0
N09-Vincent3D,216,0,33,23165,1.8449775163187354e-07,1,1,0.00011660870706132833,585,1
N09-Vincent3D,216,0,34,23695,2.2990042281012535e-07,1,1,0.0010686555242702853,510,0
N09-Vincent3D,216,0,35,24325,2.0030129999071278e-07,1,1,5.1739902806867635e-05,610,0
N09-Vincent3D,216,0,36,24940,7.742469276816877e-08,1,1,8.424979085180971e-05,595,1
N09-Vincent3D,216,0,37,25570,1.6156097826236504e-07,1,1,5.1739902806867635e-05,610,0
N09-Vincent3D,216,0,38,26165,1.2209577970878627e-07,1,1,0.00016139613434093888,575,0
N09-Vincent3D,216,0,39,26835,2.1659416471475623e-07,1,1,1.4098633281313424e-05,650,1
N09-Vincent3D,216,0,40,27425,2.1298904184785528e-07,1,1,0.0001898778051069869,570,1
N09-Vincent3D,216,0,41,28030,8.041244814460669e-08,1,1,0.00011660870706132833,585,1
N09-Vincent3D,216,0,42,28635,4.867139102859852e-08,1,1,0.00011660870706132833,585,1
N09-Vincent3D,216,0,43,29245,1.0233432368167428e-07,1,1,9.911740100212908e-05,590,0
N09-Vincent3D,216,0,44,29735,1.130109413827185e-07,1,1,0.0016108269716593277,470,0
N09-Vincent3D,216,0,45,30325,2.037518922470838e-07,1,1,0.0001898778051069869,570,1
N09-Vincent3D,216,0,46,30920,1.7674567598380264e-07,1,1,0.00016139613434093888,575,0
N09-Vincent3D,216,0,47,31545,2.4761055095190443e-08,1,1,6.087047389043251e-05,605,1
N09-Vincent3D,216,0,48,32160,1.3021903322307793e-07,1,1,8.424979085180971e-05,595,0
N09-Vincent3D,216,0,49,32685,1.170714960530006e-07,1,1,0.0011249005518634582,505,1
