function,K,eps,seed,evals,blocked_pop,blocked_ir,blocked_sol,disc_shallow,disc_lost,deep_reported,disc_best_f
N07-Vincent2D,36,0.1,0,20000,0,0,0,0,0,9,nan
N07-Vincent2D,36,0.1,1,20000,0,0,0,0,0,9,nan
N07-Vincent2D,36,0.1,2,20000,0,0,0,0,0,9,nan
N07-Vincent2D,36,0.1,3,20000,0,0,0,0,0,7,nan
N07-Vincent2D,36,0.1,4,20000,0,0,0,0,0,11,nan
N07-Vincent2D,36,0.1,5,20000,0,0,0,0,0,9,nan
N07-Vincent2D,36,0.1,6,20000,1,0,0,0,0,14,nan
N07-Vincent2D,36,0.1,7,20000,6,0,0,0,0,12,nan
N07-Vincent2D,36,0.1,8,20000,17,0,0,0,0,10,nan
N07-Vincent2D,36,0.1,9,20000,0,0,0,0,0,9,nan
N07-Vincent2D,36,0.1,10,20000,0,0,0,0,0,7,nan
N07-Vincent2D,36,0.1,11,20000,0,0,0,0,0,8,nan
N07-Vincent2D,36,0.1,12,20000,0,0,0,0,0,9,nan
N07-Vincent2D,36,0.1,13,20000,5,0,0,0,0,9,nan
N07-Vincent2D,36,0.1,14,20000,0,0,0,0,0,8,nan
N07-Vincent2D,36,0.001,0,20000,0,0,0,0,0,9,nan
N07-Vincent2D,36,0.001,1,20000,0,0,0,0,0,9,nan
N07-Vincent2D,36,0.001,2,20000,3,0,0,0,0,8,nan
N07-Vincent2D,36,0.001,3,20000,0,0,0,0,0,7,nan
N07-Vincent2D,36,0.001,4,20000,1,0,0,0,0,10,nan
N07-Vincent2D,36,0.001,5,20000,1,0,0,0,0,9,nan
N07-Vincent2D,36,0.001,6,20000,11,0,0,0,0,9,nan
N07-Vincent2D,36,0.001,7,20000,14,0,0,0,0,6,nan
N07-Vincent2D,36,0.001,8,20000,19,0,0,0,0,8,nan
N07-Vincent2D,36,0.001,9,20000,7,0,0,1,0,7,0.0019216579604579564
N07-Vincent2D,36,0.001,10,20000,0,0,0,0,0,7,nan
N07-Vincent2D,36,0.001,11,20000,0,0,0,0,0,8,nan
N07-Vincent2D,36,0.001,12,20000,2,0,0,0,0,8,nan
N07-Vincent2D,36,0.001,13,20000,5,0,0,0,0,9,nan
N07-Vincent2D,36,0.001,14,20000,2,0,0,0,0,7,nan
N07-Vincent2D,36,1e-05,0,20000,1,0,0,0,0,9,nan
N07-Vincent2D,36,1e-05,1,20000,0,0,0,2,0,9,1.1457932026615048e-05
N07-Vincent2D,36,1e-05,2,20000,3,0,0,1,0,8,1.4716290701155543e-05
N07-Vincent2D,36,1e-05,3,20000,1,0,0,0,0,7,nan
N07-Vincent2D,36,1e-05,4,20000,2,0,0,0,0,10,nan
N07-Vincent2D,36,1e-05,5,20000,2,0,0,3,0,9,2.137275144609152e-05
N07-Vincent2D,36,1e-05,6,20000,11,0,0,1,0,9,1.716336694768117e-05
N07-Vincent2D,36,1e-05,7,20000,14,0,0,0,0,6,nan
N07-Vincent2D,36,1e-05,8,20000,19,0,0,0,0,8,nan
N07-Vincent2D,36,1e-05,9,20000,7,0,0,1,0,7,0.0019216579604579564
N07-Vincent2D,36,1e-05,10,20000,0,0,0,0,0,7,nan
N07-Vincent2D,36,1e-05,11,20000,0,0,0,0,0,8,nan
N07-Vincent2D,36,1e-05,12,20000,3,0,0,0,0,7,nan
N07-Vincent2D,36,1e-05,13,20000,5,0,0,0,0,9,nan
N07-Vincent2D,36,1e-05,14,20000,4,0,0,0,0,6,nan
