function,dim,evals,seed,exhausted,f_at_exh,best_f,post_gain,n_level_release,div_t07,div_t08,f_init_scale,eff_tol
F07-StepEllipsoidal,2,5000,0,True,0.0,0.0,0.0,532,0,0,2.4036623604374228,1e-06
F07-StepEllipsoidal,2,5000,1,True,0.0,0.0,0.0,557,0,0,10.847553989369061,1e-06
F07-StepEllipsoidal,2,5000,2,True,0.0,0.0,0.0,548,0,0,10.847553989369061,1e-06
F07-StepEllipsoidal,2,5000,3,True,0.0,0.0,0.0,568,0,0,1.3858714981987248,1e-06
F07-StepEllipsoidal,2,5000,4,True,0.0,0.0,0.0,542,0,0,7.766467310950404,1e-06
F07-StepEllipsoidal,2,5000,5,True,0.0,0.0,0.0,573,0,0,1.6834980525567431,1e-06
F07-StepEllipsoidal,2,5000,6,True,0.0,0.0,0.0,571,0,0,15.627489028755505,1e-06
F07-StepEllipsoidal,2,5000,7,True,0.0,0.0,0.0,531,0,0,6.903348289722302,1e-06
F07-StepEllipsoidal,2,5000,8,True,0.0,0.0,0.0,454,0,0,2.013559984306795,1e-06
F07-StepEllipsoidal,2,5000,9,True,0.0,0.0,0.0,543,0,0,4.5187199236082165,1e-06
F07-StepEllipsoidal,2,5000,10,True,0.0,0.0,0.0,578,0,0,5.408240310984198,1e-06
F07-StepEllipsoidal,2,5000,11,True,0.0,0.0,0.0,561,0,0,6.733992210227001,1e-06
F07-StepEllipsoidal,2,5000,12,True,0.0,0.0,0.0,530,0,0,15.627489028755505,1e-06
F07-StepEllipsoidal,2,5000,13,True,0.0,0.0,0.0,562,0,0,0.10435028473078489,1e-06
F07-StepEllipsoidal,2,5000,14,True,0.0,0.0,0.0,526,0,0,12.787030718518565,1e-06
F07-StepEllipsoidal,2,5000,15,True,0.0,0.0,0.0,551,0,0,0.0250019339797376,1e-06
F07-StepEllipsoidal,2,5000,16,True,0.0,0.0,0.0,596,0,0,1.6834980525567431,1e-06
F07-StepEllipsoidal,2,5000,17,True,0.0,0.0,0.0,553,0,0,6.444399097619879,1e-06
F07-StepEllipsoidal,2,5000,18,True,0.0,0.0,0.0,544,0,0,0.6009155901093521,1e-06
F07-StepEllipsoidal,2,5000,19,True,0.0,0.0,0.0,539,0,0,1e-300,1e-06
F22-Gallagher21,2,5000,0,True,0.0,0.0,0.0,260,80,138,1.6339117830771102,1e-06
F22-Gallagher21,2,5000,1,True,0.0,0.0,0.0,166,142,142,9.84382844535503e-05,1e-06
F22-Gallagher21,2,5000,2,True,0.0,0.0,0.0,335,35,130,8.197349602951476,1e-06
F22-Gallagher21,2,5000,3,True,0.0,0.0,0.0,154,26,56,6.995770269411764,1e-06
F22-Gallagher21,2,5000,4,True,0.0,0.0,0.0,216,78,88,6.825474037953654,1e-06
F22-Gallagher21,2,5000,5,True,0.0,0.0,0.0,214,88,127,6.2615643449198615,1e-06
F22-Gallagher21,2,5000,6,True,0.0,0.0,0.0,409,62,132,7.268260531035253,1e-06
F22-Gallagher21,2,5000,7,True,0.0,0.0,0.0,272,65,109,1.890288588921635,1e-06
F22-Gallagher21,2,5000,8,True,0.0,0.0,0.0,231,81,132,0.32496745758930956,1e-06
F22-Gallagher21,2,5000,9,True,0.0,0.0,0.0,334,48,165,3.3530931716048826,1e-06
F22-Gallagher21,2,5000,10,True,0.0,0.0,0.0,229,33,114,0.04645389466543293,1e-06
F22-Gallagher21,2,5000,11,True,0.0,0.0,0.0,266,66,143,2.7051575526270426,1e-06
F22-Gallagher21,2,5000,12,True,0.0,0.0,0.0,329,141,164,2.138588175574455,1e-06
F22-Gallagher21,2,5000,13,True,0.0,0.0,0.0,323,92,191,6.935580672649849,1e-06
F22-Gallagher21,2,5000,14,True,0.0,0.0,0.0,374,105,197,11.031699871195315,1e-06
F22-Gallagher21,2,5000,15,True,0.0,0.0,0.0,334,100,181,2.4445787926380262,1e-06
F22-Gallagher21,2,5000,16,True,0.0,0.0,0.0,315,24,91,4.770699597426642,1e-06
F22-Gallagher21,2,5000,17,True,0.0,0.0,0.0,336,69,99,7.1681844442307465,1e-06
F22-Gallagher21,2,5000,18,True,0.0,0.0,0.0,410,88,185,2.092449462607533,1e-06
F22-Gallagher21,2,5000,19,True,0.0,0.0,0.0,338,115,188,3.018977431412509,1e-06
